rank,iso3,country,c_j_total,c_j_electricity,c_j_hardware,c_j_construction,pue,p_E_usd_kwh,theta_summer_C,p_L_usd_per_W,cost_source
1,IRN,Iran,1.10323,0.00463,1.05627,0.04232,1.324,0.005,31.2,7.95,predicted
2,TKM,Turkmenistan,1.11361,0.00937,1.05627,0.04797,1.339,0.01,32.2,9.01,predicted
3,KGZ,Kyrgyzstan,1.12519,0.02873,1.05627,0.04019,1.08,0.038,13.3,7.55,predicted
4,ETH,Ethiopia,1.12718,0.0263,1.05627,0.04461,1.252,0.03,26.5,8.38,predicted
5,DZA,Algeria,1.13025,0.03214,1.05627,0.04184,1.391,0.033,35.8,7.86,predicted
6,EGY,Egypt,1.13373,0.03541,1.05627,0.04206,1.331,0.038,31.7,7.9,predicted
7,CAN,Canada,1.14028,0.03402,1.05627,0.04999,1.08,0.045,14.6,9.39,DCCI
8,RUS,Russia,1.14039,0.03104,1.05627,0.05308,1.109,0.04,16.9,9.97,predicted
9,XKX,Kosovo,1.14166,0.03833,1.05627,0.04706,1.17,0.0468,21.0,8.84,predicted
10,ZAF,South Africa,1.1444,0.03383,1.05627,0.0543,1.208,0.04,23.5,10.2,DCCI
11,UKR,Ukraine,1.14961,0.0474,1.05627,0.04594,1.192,0.0568,22.5,8.63,predicted
12,TJK,Tajikistan,1.15101,0.05737,1.05627,0.03737,1.108,0.074,16.8,7.02,predicted
13,NGA,Nigeria,1.15115,0.03898,1.05627,0.0559,1.326,0.042,31.4,10.5,DCCI
14,MNE,Montenegro,1.15231,0.04196,1.05627,0.05409,1.18,0.0508,21.7,10.16,predicted
15,CHN,China,1.15348,0.06463,1.05627,0.03258,1.169,0.079,20.9,6.12,DCCI
16,QAT,Qatar,1.154,0.03518,1.05627,0.06255,1.396,0.036,36.1,11.75,predicted
17,ARG,Argentina,1.15774,0.04994,1.05627,0.05153,1.189,0.06,22.3,9.68,predicted
18,AZE,Azerbaijan,1.15857,0.053,1.05627,0.0493,1.221,0.062,24.4,9.26,predicted
19,COL,Colombia,1.1611,0.06495,1.05627,0.03987,1.237,0.075,25.5,7.49,DCCI
20,NOR,Norway,1.16324,0.0409,1.05627,0.06607,1.08,0.0541,14.5,12.41,DCCI
21,UZB,Uzbekistan,1.16339,0.06475,1.05627,0.04238,1.303,0.071,29.9,7.96,predicted
22,FIN,Finland,1.16569,0.04399,1.05627,0.06543,1.101,0.0571,16.4,12.29,DCCI
23,KAZ,Kazakhstan,1.16628,0.05678,1.05627,0.05324,1.229,0.066,24.9,10.0,predicted
24,SAU,Saudi Arabia,1.16839,0.05175,1.05627,0.06037,1.395,0.053,36.0,11.34,DCCI
25,BRA,Brazil,1.16929,0.05579,1.05627,0.05723,1.265,0.063,27.3,10.75,DCCI
26,VNM,Vietnam,1.16965,0.06514,1.05627,0.04823,1.275,0.073,28.0,9.06,predicted
27,ARE,United Arab Emirates,1.16969,0.06423,1.05627,0.04919,1.412,0.065,37.1,9.24,DCCI
28,SWE,Sweden,1.17338,0.05168,1.05627,0.06543,1.083,0.0682,15.2,12.29,DCCI
29,IND,India,1.17402,0.0824,1.05627,0.03535,1.308,0.09,30.2,6.64,DCCI
30,IDN,Indonesia,1.17459,0.05864,1.05627,0.05968,1.25,0.067,26.4,11.21,DCCI
31,GEO,Georgia,1.17983,0.07309,1.05627,0.05047,1.146,0.0911,19.4,9.48,predicted
32,USA,United States of America,1.1819,0.06824,1.05627,0.05739,1.199,0.0813,22.9,10.78,DCCI
33,TUR,Turkey,1.18294,0.07354,1.05627,0.05313,1.222,0.086,24.4,9.98,predicted
34,KEN,Kenya,1.18606,0.07794,1.05627,0.05185,1.265,0.088,27.4,9.74,DCCI
35,BIH,Bosnia and Herz.,1.18747,0.08126,1.05627,0.04994,1.179,0.0985,21.6,9.38,predicted
36,BLR,Belarus,1.18787,0.07985,1.05627,0.05175,1.152,0.099,19.8,9.72,predicted
