iso3_from,iso3_to,country_from,country_to,avg_ms,median_ms,min_ms,p95_ms,max_ms,n_pings
ALB,ALB,Albania,Albania,0.03,0.03,0.02,0.04,0.04,48
ALB,SVK,Albania,Slovakia,17.46,17.44,17.35,17.56,18.05,48
ALB,GRC,Albania,Greece,26.09,26.21,14.77,33.79,112.39,96
ALB,CZE,Albania,Czech Republic,29.13,30.46,18.69,44.55,68.84,144
ALB,BGR,Albania,Bulgaria,29.76,44.81,12.11,48.59,80.38,96
ALB,HUN,Albania,Hungary,30.36,27.33,25.74,43.89,43.95,48
ALB,AUT,Albania,Austria,36.28,39.95,24.36,51.84,51.94,96
ALB,LUX,Albania,Luxembourg,38.1,37.72,37.66,40.32,43.84,48
ALB,SRB,Albania,Serbia,41.14,37.86,25.25,50.26,55.17,48
ALB,DNK,Albania,Denmark,42.25,40.11,38.89,52.96,53.1,48
ALB,UKR,Albania,Ukraine,42.92,42.86,42.81,42.9,45.84,48
ALB,SVN,Albania,Slovenia,43.41,41.69,37.89,53.67,53.79,48
ALB,ROU,Albania,Romania,44.19,44.06,44.03,44.21,49.66,48
ALB,DEU,Albania,Germany,45.43,39.28,34.54,79.5,87.36,288
ALB,ITA,Albania,Italy,45.9,46.63,21.22,61.45,62.89,288
ALB,CHE,Albania,Switzerland,46.54,44.59,36.25,59.1,59.3,288
ALB,NLD,Albania,Netherlands,50.07,48.2,39.92,57.71,60.22,384
ALB,TUN,Albania,Tunisia,50.11,49.35,37.24,55.48,55.89,48
ALB,BEL,Albania,Belgium,50.58,51.22,43.43,55.65,60.94,192
ALB,MDA,Albania,Moldova,50.94,50.85,48.86,51.74,53.03,48
ALB,GBR,Albania,United Kingdom,52.32,52.67,43.92,59.39,79.19,528
ALB,FRA,Albania,France,53.22,45.16,35.86,85.62,107.92,192
ALB,HRV,Albania,Croatia,53.35,53.5,49.68,53.66,56.04,48
ALB,TUR,Albania,Turkey,53.52,55.26,29.69,81.83,86.32,192
ALB,DZA,Albania,Algeria,56.53,54.55,52.96,65.14,74.46,48
