iso3,country,region,gdp_pcap_ppp,population,predicted_usd_per_watt,actual_usd_per_watt,source
SGP,Singapore,East Asia & Pacific,143786.14,5917648,13.95,14.53,DCCI
SYC,Seychelles,Sub-Saharan Africa ,31780.78,119773,12.6,,predicted
ISL,Iceland,Europe & Central Asia,81608.45,385663,12.47,,predicted
AUS,Australia,East Asia & Pacific,72272.71,26659922,12.3,10.68,DCCI
NLD,Netherlands,Europe & Central Asia,81728.69,17877117,12.26,10.81,DCCI
DNK,Denmark,Europe & Central Asia,77892.29,5946952,12.12,12.02,DCCI
NOR,Norway,Europe & Central Asia,103637.52,5519601,12.02,12.41,DCCI
MUS,Mauritius,Sub-Saharan Africa ,29560.71,1248647,11.99,,predicted
CHE,Switzerland,Europe & Central Asia,95141.6,8888822,11.97,14.24,DCCI
SWE,Sweden,Europe & Central Asia,69226.33,10536632,11.91,12.29,DCCI
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",129367.87,2656032,11.86,,predicted
NZL,New Zealand,East Asia & Pacific,54697.38,5200000,11.67,12.3,DCCI
KOR,"Korea, Rep.",East Asia & Pacific,57429.8,51712619,11.65,10.07,DCCI
BWA,Botswana,Sub-Saharan Africa ,21012.1,2480244,11.6,,predicted
GAB,Gabon,Sub-Saharan Africa ,20755.67,2484789,11.6,,predicted
GNQ,Equatorial Guinea,Sub-Saharan Africa ,17411.5,1847549,11.55,,predicted
CPV,Cabo Verde,Sub-Saharan Africa ,10242.15,522331,11.49,,predicted
MAC,"Macao SAR, China",East Asia & Pacific,116328.54,678800,11.43,,predicted
ZAF,South Africa,Sub-Saharan Africa ,15199.73,63212384,11.39,10.2,DCCI
SWZ,Eswatini,Sub-Saharan Africa ,11299.88,1230506,11.37,,predicted
STP,Sao Tome and Principe,Sub-Saharan Africa ,6149.98,230871,11.35,,predicted
JPN,Japan,East Asia & Pacific,50661.77,124516650,11.33,14.64,DCCI
BRN,Brunei Darussalam,East Asia & Pacific,85032.6,458949,11.32,,predicted
SMR,San Marino,Europe & Central Asia,78745.43,33860,11.24,,predicted
FIN,Finland,Europe & Central Asia,63414.99,5583911,11.22,12.29,DCCI
MYS,Malaysia,East Asia & Pacific,36466.89,35126298,11.2,11.37,DCCI
EST,Estonia,Europe & Central Asia,48637.18,1370286,11.19,,predicted
IRL,Ireland,Europe & Central Asia,129682.61,5311538,11.17,10.05,DCCI
NAM,Namibia,Sub-Saharan Africa ,11251.24,2963095,11.17,,predicted
FRO,Faroe Islands,Europe & Central Asia,79694.93,54414,11.14,,predicted
GRL,Greenland,Europe & Central Asia,78840.6,56865,11.12,,predicted
DEU,Germany,Europe & Central Asia,71684.03,83287273,11.11,11.54,DCCI
GBR,United Kingdom,Europe & Central Asia,59911.35,68492000,11.1,11.88,DCCI
PLW,Palau,East Asia & Pacific,18230.27,17727,11.07,,predicted
BMU,Bermuda,North America,114372.05,64698,11.05,,predicted
AND,Andorra,Europe & Central Asia,71730.67,80856,10.99,,predicted
LUX,Luxembourg,Europe & Central Asia,150508.22,666430,10.99,,predicted
NRU,Nauru,East Asia & Pacific,13731.57,11875,10.98,,predicted
ESP,Spain,Europe & Central Asia,55682.24,48352528,10.98,10.04,DCCI
LTU,Lithuania,Europe & Central Asia,52348.25,2871585,10.97,,predicted
AUT,Austria,Europe & Central Asia,73544.66,9131761,10.96,11.81,DCCI
CZE,Czechia,Europe & Central Asia,55761.38,10864042,10.93,,predicted
LVA,Latvia,Europe & Central Asia,42576.41,1883710,10.92,,predicted
BLR,Belarus,Europe & Central Asia,30834.18,9178298,10.91,,predicted
FRA,France,Europe & Central Asia,60838.94,68372286,10.89,10.43,DCCI
URY,Uruguay,Latin America & Caribbean ,34470.93,3388081,10.88,9.89,DCCI
GHA,Ghana,Sub-Saharan Africa ,7556.42,33787914,10.8,,predicted
COM,Comoros,Sub-Saharan Africa ,3811.65,850387,10.78,,predicted
MRT,Mauritania,Sub-Saharan Africa ,6965.91,5022441,10.76,,predicted
HUN,Hungary,Europe & Central Asia,46592.39,9592186,10.73,,predicted
COG,"Congo, Rep.",Sub-Saharan Africa ,6850.28,6182885,10.71,,predicted
NGA,Nigeria,Sub-Saharan Africa ,8705.43,227882945,10.69,10.5,DCCI
HKG,"Hong Kong SAR, China",East Asia & Pacific,71512.32,7536100,10.61,,predicted
TUR,Turkiye,Europe & Central Asia,42786.2,85325965,10.57,,predicted
AGO,Angola,Sub-Saharan Africa ,9753.6,36749906,10.55,,predicted
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",77955.3,10483751,10.55,9.24,DCCI
TUV,Tuvalu,East Asia & Pacific,6151.01,9816,10.54,,predicted
GRC,Greece,Europe & Central Asia,42710.51,10407351,10.51,7.84,DCCI
SEN,Senegal,Sub-Saharan Africa ,4777.61,18077573,10.5,,predicted
GMB,"Gambia, The",Sub-Saharan Africa ,3289.13,2697845,10.45,,predicted
GNB,Guinea-Bissau,Sub-Saharan Africa ,2989.67,2153339,10.44,,predicted
CIV,Cote d'Ivoire,Sub-Saharan Africa ,7237.18,31165654,10.41,,predicted
ZWE,Zimbabwe,Sub-Saharan Africa ,5791.19,16340822,10.41,,predicted
LSO,Lesotho,Sub-Saharan Africa ,2880.97,2311472,10.4,,predicted
CAN,Canada,North America,64219.32,40083484,10.39,9.39,DCCI
MHL,Marshall Islands,East Asia & Pacific,7548.73,38827,10.38,,predicted
RUS,Russian Federation,Europe & Central Asia,44268.73,143826130,10.36,,predicted
BGR,Bulgaria,Europe & Central Asia,38804.1,6446596,10.31,,predicted
CYP,Cyprus,Europe & Central Asia,59422.9,1344976,10.29,,predicted
MNE,Montenegro,Europe & Central Asia,32199.7,623529,10.28,,predicted
GIN,Guinea,Sub-Saharan Africa ,4333.75,14405468,10.27,,predicted
CMR,Cameroon,Sub-Saharan Africa ,5410.77,28372687,10.26,,predicted
BEN,Benin,Sub-Saharan Africa ,4129.97,14111034,10.24,,predicted
SLE,Sierra Leone,Sub-Saharan Africa ,3368.32,8460512,10.23,,predicted
TON,Tonga,East Asia & Pacific,7802.67,104597,10.2,,predicted
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",71564.8,33702731,10.19,11.34,DCCI
SVN,Slovenia,Europe & Central Asia,56064.1,2120461,10.17,,predicted
TGO,Togo,Sub-Saharan Africa ,3154.43,9304337,10.17,,predicted
ZMB,Zambia,Sub-Saharan Africa ,4077.0,20723965,10.16,,predicted
SRB,Serbia,Europe & Central Asia,29800.06,6623183,10.15,,predicted
RWA,Rwanda,Sub-Saharan Africa ,3399.45,13954471,10.14,,predicted
FJI,Fiji,East Asia & Pacific,14644.18,924145,10.12,,predicted
ARG,Argentina,Latin America & Caribbean ,30221.5,45538401,10.1,,predicted
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",55171.23,9849000,10.09,,predicted
