iso3,country,electricity_kwh_per_capita,population,total_electricity_gwh,installed_capacity_mw,K_bar_gpu_hours
IRN,"Iran, Islamic Rep.",3664.26,90608707,332.01,84.17,47430535.1
TKM,Turkmenistan,2829.25,7364438,20.84,5.28,2976544.6
KGZ,Kyrgyz Republic,1971.41,7099750,14.0,3.55,1999499.91
ETH,Ethiopia,92.44,128691692,11.9,3.02,1699388.96
DZA,Algeria,1827.95,46164219,84.39,21.39,12055142.86
EGY,"Egypt, Arab Rep.",1492.9,114535772,170.99,43.35,24427142.86
CAN,Canada,14459.9,40083484,579.6,146.93,82800428.57
RUS,Russian Federation,7184.42,143826130,1033.31,261.95,147615373.98
XKX,Kosovo,3000,1682668,5.05,1.28,721143.43
ZAF,South Africa,3247.15,63212384,205.26,52.03,29322857.14
UKR,Ukraine,2516.32,37732836,94.95,24.07,13564000.0
TJK,Tajikistan,1475.71,10389799,15.33,3.89,2190331.9
NGA,Nigeria,135.6,227882945,30.9,7.83,4414525.93
MNE,Montenegro,4564.34,623529,2.85,0.72,406571.43
CHN,China,6523.72,1410710000,9203.08,2333.02,1314725142.86
QAT,Qatar,19381.09,2656032,51.48,13.05,7353826.46
ARG,Argentina,2821.77,45538401,128.5,32.58,18357000.0
AZE,Azerbaijan,2366.96,10153958,24.03,6.09,3433428.57
COL,Colombia,1552.83,52321152,81.25,20.6,11606571.43
NOR,Norway,23520.18,5519601,129.82,32.91,18546000.0
UZB,Uzbekistan,2094.05,35652307,74.66,18.93,10665399.49
FIN,Finland,14391.35,5583911,80.36,20.37,11480000.0
KAZ,Kazakhstan,5145.57,20330104,104.61,26.52,14944285.71
SAU,Saudi Arabia,11835.32,33702731,398.88,101.12,56983218.67
BRA,Brazil,2916.49,211140729,615.79,156.11,87969857.14
VNM,Viet Nam,2624.4,100352192,263.36,66.76,37623483.19
ARE,United Arab Emirates,14687.97,10483751,153.99,39.04,21997865.98
SWE,Sweden,12149.52,10536632,128.01,32.45,18287857.14
IND,India,1181.63,1438069596,1699.27,430.77,242752428.57
IDN,Indonesia,1445.21,281190067,406.38,103.02,58054285.71
GEO,Georgia,3382.33,3715483,12.57,3.19,1795285.71
USA,United States,12551.23,336806231,4227.33,1071.65,603904428.57
TUR,Turkiye,3581.25,85325965,305.57,77.46,43653428.57
KEN,Kenya,190.08,55339003,10.52,2.67,1502714.29
BIH,Bosnia and Herzegovina,3676.52,3185073,11.71,2.97,1672857.14
BLR,Belarus,3902.77,9178298,35.82,9.08,5117249.66
ISL,Iceland,50951.22,385663,19.65,4.98,2807142.86
MAR,Morocco,997.26,37712505,37.61,9.53,5372714.29
GBR,United Kingdom,4207.95,68492000,288.21,73.06,41173000.0
AUS,Australia,9819.87,26659922,261.8,66.37,37399571.43
NZL,New Zealand,8021.15,5200000,41.71,10.57,5958571.43
ARM,Armenia,2403.68,2964300,7.13,1.81,1017888.85
MEX,Mexico,2608.52,129739759,338.43,85.79,48347000.0
FRA,France,6415.03,68372286,438.61,111.19,62658571.43
LVA,Latvia,3616.8,1883710,6.81,1.73,973285.71
CHL,Chile,4322.99,19658835,84.98,21.54,12140714.29
POL,Poland,4381.86,36687353,160.76,40.75,22965571.43
PRT,Portugal,5146.26,10578174,54.44,13.8,7776857.14
MYS,Malaysia,4986.12,35126298,175.14,44.4,25020578.11
PHL,Philippines,884.68,114891199,101.64,25.77,14520282.23
TWN,Taiwan,11000,23500000,258.5,65.53,36928571.43
ISR,Israel,6772.06,9849000,66.7,16.91,9528285.71
THA,Thailand,2965.21,71702435,212.61,53.9,30373285.71
ESP,Spain,5117.83,48352528,247.46,62.73,35351428.57
SRB,Serbia,5089.55,6623183,33.71,8.55,4815571.43
MLT,Malta,5042.09,552747,2.79,0.71,398142.86
PAK,Pakistan,605.79,247504495,149.94,38.01,21419330.61
EST,Estonia,5722.16,1370286,7.84,1.99,1120142.86
BEL,Belgium,6931.7,11779946,81.66,20.7,11665000.0
NLD,Netherlands,6189.09,17877117,110.64,28.05,15806142.86
KOR,"Korea, Rep.",11426.07,51712619,590.87,149.79,84410285.71
MDA,Moldova,2411.52,2457783,5.93,1.5,846714.29
GHA,Ghana,552.5,33787914,18.67,4.73,2666845.4
LTU,Lithuania,4202.91,2871585,12.07,3.06,1724142.86
DNK,Denmark,5878.14,5946952,34.96,8.86,4993857.14
MKD,North Macedonia,3320.36,1827816,6.07,1.54,867000.0
LUX,Luxembourg,11428.06,666430,7.62,1.93,1088000.0
ALB,Albania,2888.87,2414095,6.97,1.77,996285.71
SVN,Slovenia,6418.42,2120461,13.61,3.45,1944285.71
ROU,Romania,2585.27,19061062,49.28,12.49,7039714.29
DEU,Germany,5947.27,83287273,495.33,125.57,70761714.29
BGR,Bulgaria,5360.5,6446596,34.56,8.76,4936714.29
GRC,Greece,4693.51,10407351,48.85,12.38,6978142.86
AUT,Austria,7806.05,9131761,71.28,18.07,10183285.71
ITA,Italy,5047.47,58984216,297.72,75.47,42531571.43
SVK,Slovak Republic,4673.89,5426740,25.36,6.43,3623428.57
JPN,Japan,7655.02,124516650,953.18,241.63,136168142.86
CZE,Czechia,5965.37,10864042,64.81,16.43,9258285.71
CHE,Switzerland,7096.33,8888822,63.08,15.99,9011142.86
HUN,Hungary,4604.58,9592186,44.17,11.2,6309714.29
SGP,Singapore,9750.5,5917648,57.7,14.63,8242857.14
SEN,Senegal,410.18,18077573,7.41,1.88,1059285.71
CYP,Cyprus,3841.7,1344976,5.17,1.31,738142.86
IRL,Ireland,6144.74,5311538,32.64,8.27,4662571.43
HRV,Croatia,4484.04,3859686,17.31,4.39,2472428.57
GRL,Greenland,30000,56865,1.71,0.43,243707.14
