iso3,G_RoL,G_RegQ
ALB,0.457547187805176,0.584905662536621
ARE,0.7877358245849609,0.820754699707031
ARG,0.377358474731445,0.353773574829102
ARM,0.490566024780273,0.5283018875122071
AUS,0.919811325073242,0.995283050537109
AUT,0.9716981506347661,0.900943374633789
AZE,0.292452831268311,0.490566024780273
BEL,0.882075500488281,0.8584906005859381
BGR,0.537735862731934,0.655660400390625
BIH,0.396226425170898,0.46698112487793
BLR,0.113207550048828,0.07547169685363771
BRA,0.419811325073242,0.400943412780762
CAN,0.900943374633789,0.948113174438477
CHE,0.985849075317383,0.957547149658203
CHL,0.7122641754150391,0.768867950439453
CHN,0.5283018875122071,0.386792449951172
COL,0.358490562438965,0.542452812194824
CYP,0.71698112487793,0.759433975219727
CZE,0.844339599609375,0.877358474731445
DEU,0.929245300292969,0.919811325073242
DNK,0.995283050537109,0.981132049560547
DZA,0.26415094375610404,0.160377349853516
EGY,0.443396224975586,0.268867931365967
ESP,0.78301887512207,0.745283050537109
EST,0.896226425170898,0.910377349853516
ETH,0.268867931365967,0.14150943756103498
FIN,1.0,0.96698112487793
FRA,0.849056625366211,0.853773574829102
GBR,0.8915093994140619,0.929245300292969
GEO,0.551886787414551,0.797169799804688
GHA,0.495283012390137,0.452830200195312
GRC,0.570754699707031,0.707547149658203
GRL,0.995283050537109,0.981132049560547
HRV,0.594339637756348,0.7216981506347661
HUN,0.6320754623413091,0.627358474731445
IDN,0.46698112487793,0.6084905624389649
IND,0.561320762634277,0.471698112487793
IRL,0.938679275512695,0.9622641754150391
IRN,0.160377349853516,0.0424528312683105
ISL,0.96698112487793,0.872641525268555
ISR,0.773584899902344,0.844339599609375
ITA,0.6084905624389649,0.726415100097656
JPN,0.924528274536133,0.924528274536133
KAZ,0.367924537658691,0.53301887512207
KEN,0.410377349853516,0.377358474731445
KGZ,0.127358493804932,0.292452831268311
KOR,0.8584906005859381,0.849056625366211
LTU,0.867924499511719,0.882075500488281
LUX,0.976415100097656,0.990566024780273
LVA,0.830188674926758,0.863207550048828
MAR,0.48584907531738303,0.509433975219727
MDA,0.471698112487793,0.547169799804688
MEX,0.24056604385376001,0.462264137268066
MKD,0.452830200195312,0.660377349853516
MLT,0.754716949462891,0.740566024780273
MNE,0.523584899902344,0.6415093994140619
MYS,0.674528274536133,0.731132049560547
NGA,0.202830181121826,0.169811325073242
NLD,0.943396224975586,0.9716981506347661
NOR,0.990566024780273,0.933962249755859
NZL,0.957547149658203,0.985849075317383
PAK,0.212264156341553,0.198113212585449
PHL,0.372641525268555,0.575471687316895
POL,0.650943374633789,0.764150924682617
PRT,0.834905624389648,0.754716949462891
QAT,0.801886825561523,0.811320724487305
ROU,0.6415093994140619,0.6320754623413091
RUS,0.122641506195068,0.127358493804932
SAU,0.627358474731445,0.688679275512695
SEN,0.42924530029296903,0.391509437561035
SGP,0.981132049560547,1.0
SRB,0.514150924682617,0.5660377502441409
SVK,0.688679275512695,0.7122641754150391
SVN,0.825471725463867,0.75
SWE,0.933962249755859,0.952830200195312
THA,0.575471687316895,0.570754699707031
TJK,0.09905660629272459,0.113207550048828
TKM,0.0660377359390259,0.0141509437561035
TUR,0.325471687316895,0.438679237365723
UKR,0.198113212585449,0.433962249755859
USA,0.886792449951172,0.905660400390625
UZB,0.231132068634033,0.311320762634277
VNM,0.5047169876098629,0.382075462341309
XKX,0.514150924682617,0.5660377502441409
ZAF,0.542452812194824,0.443396224975586
