iso,country,cj_cr,rank_cr,G_RoL,G_RegQ,R_grid,BIT_G7,BIT_score,ICSID,FDI_raw,FDI_score,xi_raw_v26,xi_eff_v26,rank_v26,xi_eff_A,adj_cost_A,rank_A,delta_A,xi_eff_B,adj_cost_B,rank_B,delta_B,xi_eff_C,adj_cost_C,rank_C,delta_C,shift_A,shift_B,shift_C
KGZ,Kyrgyzstan,1.4232518095905662,1,0.127358493804932,0.292452831268311,0.65,4,0.5714285714285714,1,1.04737270916902,0.33979320035817695,0.5200696464524074,0.7600348232262037,66,0.6648369095250313,2.1407533023510337,73,-72,0.8074164659038783,1.7627232905106522,63,-62,0.6872576156213946,2.0709145700825897,56,-55,-7,3,10
ETH,Ethiopia,1.4402450948594079,2,0.268867931365967,0.14150943756103498,0.55,4,0.5714285714285714,1,2.40146315358044,0.5597029889211602,0.41957093542107865,0.7097854677105393,80,0.5867345244899984,2.45467930511043,79,-77,0.7839385390219182,1.8371913398419362,73,-71,0.7791183505405306,1.8485575315485845,34,-32,1,7,46
CAN,Canada,1.4404078296681386,3,0.900943374633789,0.948113174438477,1.0,7,1.0,1,1.93601776565032,0.4822981220948538,0.9744419543426704,0.9872209771713352,1,0.9778605278235606,1.47301970852027,1,2,0.9944816344747194,1.4484006337924535,1,2,0.7690222741474895,1.873037853506809,35,-32,0,0,-34
XKX,Kosovo,1.4454014923649217,4,0.514150924682617,0.5660377502441409,0.7,3,0.42857142857142855,1,6.06995232091603,0.936406169393183,0.6140352010414702,0.8070176005207351,54,0.7921818920577917,1.8245828475204227,47,-43,0.809536333993667,1.7854683374547944,69,-65,0.9482077242286171,1.5243511051766427,3,1,7,-15,51
CHN,China,1.4461647183516888,5,0.5283018875122071,0.386792449951172,0.95,6,0.8571428571428571,1,0.280991103634816,0.23578023754204913,0.6428166299393555,0.8214083149696778,49,0.7213017433161272,2.0049372287706695,65,-60,0.8996348544667025,1.6075018783136914,27,-22,0.6452980667584732,2.2410801966542535,64,-59,-16,22,-15
TJK,Tajikistan,1.448039587642129,6,0.09905660629272459,0.113207550048828,0.65,3,0.42857142857142855,1,1.14813698883392,0.35504588212358246,0.43021742458928813,0.715108712294644,79,0.5735700567228825,2.5246080590670408,82,-76,0.7567544402884889,1.9134867409434813,79,-73,0.6943787638169712,2.085374241116355,57,-51,-3,0,22
MNE,Montenegro,1.4551172052252153,7,0.523584899902344,0.6415093994140619,0.8,4,0.5714285714285714,1,6.87914947745747,0.961942685640016,0.7141621546710881,0.8570810773355441,41,0.8315553749790744,1.749874090179301,38,-31,0.8553857054033376,1.7011240613836165,56,-49,0.9678539705846047,1.5034470585953097,1,6,3,-15,40
COL,Colombia,1.4568805616249414,8,0.358490562438965,0.542452812194824,0.75,5,0.7142857142857143,1,4.58478761240549,0.8452520777359505,0.6204228042204991,0.8102114021102496,57,0.7847323838224636,1.8565317191682806,50,-42,0.8719190871079443,1.6708896308913792,47,-39,0.9151141178408522,1.5920206378875996,12,-4,7,10,45
UKR,Ukraine,1.457356165973561,9,0.198113212585449,0.433962249755859,0.75,6,0.8571428571428571,1,2.52287921090664,0.5795753504686759,0.5761923336072445,0.7880961668036223,62,0.7355392853646936,1.9813437500499753,63,-54,0.8906940459018347,1.6362028832223487,36,-27,0.8012122390170024,1.8189389714784856,31,-22,-1,26,31
ARG,Argentina,1.4617254798316492,10,0.377358474731445,0.353773574829102,0.75,6,0.8571428571428571,1,3.81190879856952,0.7652640559547932,0.6204228042204991,0.8102114021102496,59,0.6979911487432646,2.094189134723973,71,-61,0.8822191012551899,1.6568735337423077,42,-32,0.8814773980644847,1.6582676799668963,18,-8,-12,17,41
AZE,Azerbaijan,1.462269183276778,11,0.292452831268311,0.490566024780273,0.7,4,0.5714285714285714,1,0.349083720733803,0.24407115619190992,0.48083419205054023,0.7404170960252701,75,0.7587185432432424,1.9272880520701599,58,-47,0.8322203809418989,1.7570696617905417,62,-51,0.6429301008106587,2.2743828317153447,67,-56,17,13,8
DZA,Algeria,1.4627576512895546,12,0.26415094375610404,0.160377349853516,0.7,4,0.5714285714285714,1,0.489819143410423,0.2618232626139356,0.48083419205054023,0.7404170960252701,76,0.6000244767470121,2.437829968570259,77,-65,0.7964634444589802,1.8365659610193072,72,-60,0.6517196059749093,2.244458564510133,65,-53,-1,4,11
RUS,Russia,1.4642243165112447,13,0.122641506195068,0.127358493804932,0.85,5,0.7142857142857143,0,-0.484918766027148,0.1561207687950231,0.44788222958463525,0.7239411147923176,78,0.5846557711823234,2.5044212144698563,81,-68,0.7186872072804613,2.0373596492024997,81,-68,0.6006524666053831,2.437722972797199,77,-64,-3,-3,1
VNM,Vietnam,1.4667490907906573,14,0.5047169876098629,0.382075462341309,0.85,5,0.7142857142857143,1,4.26407109843686,0.8151283810853923,0.6321809455103841,0.8160904727551921,56,0.715382105625727,2.050301620988588,68,-54,0.8615074026979284,1.7025380004830275,57,-43,0.9101332274669045,1.6115762467797532,13,1,-12,-1,43
EGY,Egypt,1.4675387813754928,15,0.443396224975586,0.268867931365967,0.7,6,0.8571428571428571,1,2.48546398363597,0.5734758847471046,0.5258830943327595,0.7629415471663797,70,0.6551825432922966,2.239892983108342,76,-61,0.869366918651528,1.688054548534912,51,-36,0.7954422461237551,1.8449344229916256,33,-18,-6,19,37
