iso3,country,gdp_pcap_ppp_2023
AFE,Africa Eastern and Southern,4501.6011005616
AFW,Africa Western and Central,6520.28031254058
ARB,Arab World,18488.7415611006
CSS,Caribbean small states,32868.2089967349
CEB,Central Europe and the Baltics,48196.206152066
EAR,Early-demographic dividend,13251.6405875685
EAS,East Asia & Pacific,25623.4876925682
EAP,East Asia & Pacific (excluding high income),21666.586245648
TEA,East Asia & Pacific (IDA & IBRD countries),21910.1107554067
EMU,Euro area,64036.5195786938
ECS,Europe & Central Asia,50275.3509023688
ECA,Europe & Central Asia (excluding high income),27545.1493202782
TEC,Europe & Central Asia (IDA & IBRD countries),35843.1764253964
EUU,European Union,61412.7806142196
FCS,Fragile and conflict affected situations,6234.09052638352
HPC,Heavily indebted poor countries (HIPC),3449.70857928077
IBD,IBRD only,19837.7077076446
IBT,IDA & IBRD total,15837.8566142075
IDB,IDA blend,7301.41287406727
IDX,IDA only,4484.05730491521
IDA,IDA total,5459.15149707535
LTE,Late-demographic dividend,26470.7504752459
LCN,Latin America & Caribbean,22091.9909742258
LAC,Latin America & Caribbean (excluding high income),21091.6097448769
TLA,Latin America & the Caribbean (IDA & IBRD countries),21983.7516896603
LDC,Least developed countries: UN classification,4286.72070784438
LMY,Low & middle income,14898.775571679
MEA,"Middle East, North Africa, Afghanistan & Pakistan",15802.3196546301
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",10869.5026341704
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",10905.7472983672
MIC,Middle income,16203.868213035
NAC,North America,80387.021822965
OED,OECD members,59701.2937485839
OSS,Other small states,27998.6716908594
PSS,Pacific island small states,7855.01947624673
PST,Post-demographic dividend,65676.5612653425
PRE,Pre-demographic dividend,5102.90092713158
SST,Small states,26393.1337154581
SAS,South Asia,10176.3547635823
TSA,South Asia (IDA & IBRD),10176.3547635823
SSF,Sub-Saharan Africa,5318.14347437486
SSA,Sub-Saharan Africa (excluding high income),5571.64191022976
TSS,Sub-Saharan Africa (IDA & IBRD countries),5318.14347437486
WLD,World,23381.777314542
AFG,Afghanistan,2201.72290691677
ALB,Albania,25011.1181110199
DZA,Algeria,16824.4879034627
AND,Andorra,71730.668682165
AGO,Angola,9753.60046763783
ATG,Antigua and Barbuda,31601.7527146877
ARG,Argentina,30221.4976888753
ARM,Armenia,21534.030536117
ABW,Aruba,46574.3574197653
AUS,Australia,72272.7092136683
AUT,Austria,73544.6567230487
AZE,Azerbaijan,23651.5994852756
BHS,"Bahamas, The",39090.1214737976
BHR,Bahrain,64171.0857359052
BGD,Bangladesh,9147.7775066555
BRB,Barbados,23660.4047512929
BLR,Belarus,30834.1773668111
BEL,Belgium,71946.1447190292
BLZ,Belize,13729.892058721
BEN,Benin,4129.9661200142
BMU,Bermuda,114372.049927372
BTN,Bhutan,16215.1520073153
BOL,Bolivia,12892.1249578777
BIH,Bosnia and Herzegovina,23335.6038858207
BWA,Botswana,21012.10319925
BRA,Brazil,21175.6186988214
BRN,Brunei Darussalam,85032.6008741995
BGR,Bulgaria,38804.100900756
BFA,Burkina Faso,2759.30205484605
BDI,Burundi,1149.98405842389
CPV,Cabo Verde,10242.1532011212
KHM,Cambodia,7430.73085709837
CMR,Cameroon,5410.76921937642
CAN,Canada,64219.3173928637
CYM,Cayman Islands,88427.7866712691
CAF,Central African Republic,1257.09435717114
TCD,Chad,2700.36055335878
CHL,Chile,33145.403552025
CHN,China,25179.1193066383
COL,Colombia,21246.3762695201
COM,Comoros,3811.65084882413
COD,"Congo, Dem. Rep.",1730.62228877694
COG,"Congo, Rep.",6850.27770621099
CRI,Costa Rica,28908.7688743191
CIV,Cote d'Ivoire,7237.18170740909
HRV,Croatia,47959.4354345969
CUW,Curacao,30651.5885510423
CYP,Cyprus,59422.90234375
CZE,Czechia,55761.3798291375
DNK,Denmark,77892.2932609904
DJI,Djibouti,7225.8387957249
DMA,Dominica,20285.9821663707
DOM,Dominican Republic,25839.9356687607
ECU,Ecuador,15918.5162948773
EGY,"Egypt, Arab Rep.",18524.8392997937
SLV,El Salvador,12679.5768752061
GNQ,Equatorial Guinea,17411.500234384
EST,Estonia,48637.1802208795
SWZ,Eswatini,11299.8831236788
ETH,Ethiopia,3060.9050300376
FRO,Faroe Islands,79694.929791758
FJI,Fiji,14644.1773754361
FIN,Finland,63414.9936878177
FRA,France,60838.9416716424
GAB,Gabon,20755.665381766
GMB,"Gambia, The",3289.13283057107
GEO,Georgia,25071.9677264107
DEU,Germany,71684.0311875583
GHA,Ghana,7556.41605453234
GRC,Greece,42710.5058010314
GRL,Greenland,78840.5978395988
GRD,Grenada,18970.740164653
GTM,Guatemala,13745.3631241794
GIN,Guinea,4333.74617312626
GNB,Guinea-Bissau,2989.67235980477
GUY,Guyana,54729.0365156366
HTI,Haiti,3291.73817887066
HND,Honduras,7178.33906781522
HKG,"Hong Kong SAR, China",71512.3193551161
HUN,Hungary,46592.3856070073
ISL,Iceland,81608.4479116436
IND,India,10323.4998734428
IDN,Indonesia,15415.7079259527
IRN,"Iran, Islamic Rep.",18917.0914723132
IRQ,Iraq,14652.5212399212
IRL,Ireland,129682.607150517
ISR,Israel,55171.2318814321
ITA,Italy,60029.871712398
JAM,Jamaica,12650.9052955938
JPN,Japan,50661.7663463109
JOR,Jordan,10411.8416152967
KAZ,Kazakhstan,38515.1836009979
KEN,Kenya,6317.03904665091
KIR,Kiribati,3485.55808311399
KOR,"Korea, Rep.",57429.8031076402
XKX,Kosovo,15804.4065754058
KWT,Kuwait,53025.4710858063
KGZ,Kyrgyz Republic,7298.08612561933
LAO,Lao PDR,9291.78859001138
LVA,Latvia,42576.4060799457
LBN,Lebanon,12574.8329116403
LSO,Lesotho,2880.96629615692
LBR,Liberia,1794.53340863362
LBY,Libya,13847.0792190045
LTU,Lithuania,52348.2468215268
LUX,Luxembourg,150508.218886888
MAC,"Macao SAR, China",116328.540600134
MDG,Madagascar,1808.44779038579
MWI,Malawi,1830.46461287442
MYS,Malaysia,36466.8914938333
MDV,Maldives,24786.2032123451
MLI,Mali,3174.62960276396
MLT,Malta,66568.59947529
MHL,Marshall Islands,7548.73253747944
MRT,Mauritania,6965.90953574715
MUS,Mauritius,29560.7137230079
MEX,Mexico,25243.1644887582
FSM,"Micronesia, Fed. Sts.",4233.74492558769
MDA,Moldova,17746.9405538684
MNG,Mongolia,18004.8512058355
MNE,Montenegro,32199.703195863
MAR,Morocco,9894.650390625
MOZ,Mozambique,1678.39118243681
MMR,Myanmar,5953.35735165913
NAM,Namibia,11251.2370313819
NRU,Nauru,13731.5704745016
NPL,Nepal,5395.20820077513
NLD,Netherlands,81728.6904629268
NZL,New Zealand,54697.382252318
NIC,Nicaragua,8319.97944140996
NER,Niger,1875.15306770628
NGA,Nigeria,8705.43426693539
MKD,North Macedonia,25429.0944700616
NOR,Norway,103637.516843678
OMN,Oman,41945.0255640883
PAK,Pakistan,6013.989636386
PLW,Palau,18230.2698627414
PAN,Panama,39813.3857939972
PNG,Papua New Guinea,4667.83567092991
PRY,Paraguay,17564.4912369374
PER,Peru,17011.2278028825
PHL,Philippines,10985.8292627505
POL,Poland,48473.0940286419
PRT,Portugal,49352.8388613032
PRI,Puerto Rico (US),47543.3937761528
QAT,Qatar,129367.869670927
ROU,Romania,47038.5288626113
RUS,Russian Federation,44268.73046875
RWA,Rwanda,3399.45174603143
WSM,Samoa,8194.80725640734
SMR,San Marino,78745.4313299335
STP,Sao Tome and Principe,6149.98146081932
SAU,Saudi Arabia,71564.800028565
SEN,Senegal,4777.61451861578
SRB,Serbia,29800.0611177762
SYC,Seychelles,31780.7838341965
SLE,Sierra Leone,3368.31727188063
SGP,Singapore,143786.136293013
SXM,Sint Maarten (Dutch part),51686.6520818084
SVK,Slovak Republic,45973.9406902991
SVN,Slovenia,56064.0974596742
SLB,Solomon Islands,2596.56364252803
SOM,"Somalia, Fed. Rep.",1555.61016798776
ZAF,South Africa,15199.7329823776
ESP,Spain,55682.2402603093
LKA,Sri Lanka,14455.6544414734
KNA,St. Kitts and Nevis,33979.6303615734
LCA,St. Lucia,25974.5092925263
VCT,St. Vincent and the Grenadines,19819.869034679
SDN,Sudan,2420.65795898438
SUR,Suriname,21110.1980204563
SWE,Sweden,69226.3272756663
CHE,Switzerland,95141.5960943632
TJK,Tajikistan,4963.58295264504
TZA,Tanzania,4018.5166015625
THA,Thailand,23519.2120979823
TLS,Timor-Leste,4806.82181559299
TGO,Togo,3154.43329348299
TON,Tonga,7802.66986206107
TTO,Trinidad and Tobago,34623.3691500959
TUN,Tunisia,14040.5961148142
TUR,Turkiye,42786.2004948664
TKM,Turkmenistan,19828.9248461199
TCA,Turks and Caicos Islands,35336.7403511449
TUV,Tuvalu,6151.01047041608
UGA,Uganda,3097.63702430619
UKR,Ukraine,17665.34375
ARE,United Arab Emirates,77955.2951760879
GBR,United Kingdom,59911.3467663209
USA,United States,82304.6204272866
URY,Uruguay,34470.9322201143
UZB,Uzbekistan,11106.9715934767
VUT,Vanuatu,3567.81882030223
VNM,Viet Nam,15033.8768594355
PSE,West Bank and Gaza,5950.02006184393
ZMB,Zambia,4076.99508686641
ZWE,Zimbabwe,5791.19212877988
