country,iso3,developing,c_raw,rank_raw,type_raw,c_cr,rank_cr,type_cr,type_bilateral
Iran,IRN,N,1.5579,1,EE*,1.632,24,DD*,DD*
Turkmenistan,TKM,Y,1.5666,2,EE*†,1.6228,18,II*,DD*
Ethiopia,ETH,Y,1.5774,3,EE†,1.5949,3,DD,DD
Kyrgyzstan,KGZ,Y,1.5785,4,EE†,1.5785,1,EE†,EE†
Egypt,EGY,Y,1.5841,5,EE†,1.6232,19,IE†,DD
Algeria,DZA,Y,1.5854,6,EE†,1.6165,14,IE†,DD
Canada,CAN,N,1.5921,7,EE,1.5921,2,EE,EE
Russia,RUS,N,1.5943,8,IE*,1.6137,12,IE*,DD*
South Africa,ZAF,Y,1.5962,9,DD,1.6427,33,DD,DD
Kosovo,XKX,Y,1.5969,10,IE†,1.5969,4,IE†,IE†
Nigeria,NGA,Y,1.6029,11,DD,1.6382,31,DD,DD
Tajikistan,TJK,Y,1.6044,12,IE†,1.6044,5,IE†,DD
Montenegro,MNE,Y,1.6048,13,IE†,1.6048,6,IE†,IE†
China,CHN,Y,1.6053,14,II,1.6053,7,II,II
Qatar,QAT,N,1.6064,15,DD,1.669,59,DD,DD
Ukraine,UKR,Y,1.608,16,IE†,1.608,8,IE†,IE†
Argentina,ARG,Y,1.6118,17,DD,1.6118,9,DD,DD
Colombia,COL,Y,1.6129,18,DD,1.6129,10,DD,DD
Azerbaijan,AZE,N,1.6131,19,IE,1.6131,11,IE,DD
Norway,NOR,N,1.615,20,IE,1.615,13,IE,IE
Kazakhstan,KAZ,N,1.6156,21,IE,1.6319,23,II,DD
Uzbekistan,UZB,Y,1.6174,22,IE†,1.6347,27,IE†,DD
Finland,FIN,N,1.6175,23,IE,1.6175,15,IE,EE
Vietnam,VNM,Y,1.6198,24,IE†,1.6198,16,IE†,DD
Saudi Arabia,SAU,N,1.6202,25,DD,1.6661,56,DD,DD
Brazil,BRA,Y,1.6211,26,DD,1.6211,17,DD,DD
United Arab Emirates,ARE,Y,1.6215,27,DD,1.6511,42,DD,DD
Sweden,SWE,N,1.6252,28,IE,1.6252,20,IE,IE
India,IND,Y,1.6258,29,IE†,1.6258,21,IE†,DD
Indonesia,IDN,Y,1.6264,30,IE†,1.6264,22,IE†,IE†
Georgia,GEO,Y,1.6321,31,IE†,1.6321,25,IE†,DD
United States,USA,N,1.6337,32,IE,1.6337,26,IE,II
Turkey,TUR,N,1.6378,33,IE,1.6378,28,IE,DD
Kenya,KEN,Y,1.6379,34,DD,1.6379,29,DD,DD
Bosnia and Herzegovina,BIH,Y,1.6382,35,IE†,1.6382,30,IE†,DD
Iceland,ISL,N,1.6421,36,IE,1.6421,32,IE,IE
United Kingdom,GBR,N,1.6456,37,IE,1.6456,34,IE,IE
Belarus,BLR,N,1.646,38,IE*,1.646,35,IE*,DD*
Australia,AUS,N,1.646,39,DD,1.646,36,DD,DD
New Zealand,NZL,N,1.6463,40,DD,1.6463,37,DD,DD
Morocco,MAR,Y,1.6466,41,DD,1.6466,38,DD,DD
Mexico,MEX,Y,1.6468,42,DD,1.6468,39,DD,DD
France,FRA,N,1.6475,43,IE,1.6475,40,IE,IE
Armenia,ARM,Y,1.6495,44,II,1.6495,41,II,DD
Chile,CHL,Y,1.6522,45,DD,1.6522,43,DD,DD
Poland,POL,N,1.6525,46,IE,1.6525,44,IE,IE
Latvia,LVA,N,1.6532,47,IE,1.6532,45,IE,IE
Portugal,PRT,N,1.654,48,IE,1.654,46,IE,IE
Malta,MLT,N,1.6556,49,IE,1.6556,47,IE,IE
Malaysia,MYS,Y,1.6558,50,IE†,1.6558,48,IE†,DD
Philippines,PHL,Y,1.6573,51,DD,1.6573,49,DD,DD
Israel,ISR,N,1.6584,52,DD,1.6584,50,DD,DD
Spain,ESP,N,1.6588,53,IE,1.6588,51,IE,IE
Thailand,THA,Y,1.6593,54,IE†,1.6593,52,IE†,DD
Belgium,BEL,N,1.661,55,IE,1.661,53,IE,IE
Serbia,SRB,Y,1.6632,56,IE†,1.6632,54,IE†,DD
Pakistan,PAK,Y,1.6653,57,DD,1.6653,55,DD,DD
Luxembourg,LUX,N,1.6671,58,IE,1.6671,57,IE,IE
Netherlands,NLD,N,1.6689,59,IE,1.6689,58,IE,IE
Estonia,EST,N,1.6693,60,IE,1.6693,60,IE,IE
South Korea,KOR,N,1.6706,61,DD,1.6706,61,DD,DD
Moldova,MDA,Y,1.672,62,IE†,1.672,62,IE†,DD
Denmark,DNK,N,1.6728,63,IE,1.6728,63,IE,IE
Lithuania,LTU,N,1.6731,64,IE,1.6731,64,IE,IE
North Macedonia,MKD,Y,1.6752,65,IE†,1.6752,65,IE†,DD
Ghana,GHA,N,1.6761,66,DD,1.6761,66,DD,DD
Slovenia,SVN,N,1.6837,67,IE,1.6837,67,IE,IE
Albania,ALB,Y,1.6838,68,II,1.6838,68,II,DD
Romania,ROU,N,1.6871,69,IE,1.6871,69,IE,IE
Germany,DEU,N,1.6933,70,IE,1.6933,70,IE,IE
Greece,GRC,N,1.6939,71,II,1.6939,71,II,DD
Bulgaria,BGR,N,1.6943,72,IE,1.6943,72,IE,IE
Slovakia,SVK,N,1.6959,73,IE,1.6959,73,IE,IE
Austria,AUT,N,1.6975,74,IE,1.6975,74,IE,IE
Italy,ITA,N,1.698,75,II,1.698,75,II,II
Japan,JPN,N,1.7025,76,DD,1.7025,76,DD,DD
Czechia,CZE,N,1.7039,77,IE,1.7039,77,IE,IE
Switzerland,CHE,N,1.706,78,II,1.706,78,II,II
Hungary,HUN,N,1.714,79,IE,1.714,79,IE,IE
Singapore,SGP,N,1.7156,80,II,1.7156,80,II,II
Cyprus,CYP,N,1.728,81,II,1.728,81,II,II
Senegal,SEN,Y,1.7329,82,DD,1.7329,82,DD,DD
Croatia,HRV,N,1.7344,83,II,1.7344,83,II,II
Ireland,IRL,N,1.7346,84,II,1.7346,84,II,II
Greenland,GRL,N,1.7661,85,II,1.7661,85,II,II
