iso,country,G,R,cr_pe,theta,pue,constr_per_w,mw,omega_share,xi_old,xi_new,c_cr,c_adj_old,c_adj_new,rank_old,rank_new,rank_cr
NOR,Norway,0.990566024780273,1.0,0.0541,14.5,1.08,12.41,400.0,0.003232375472734913,0.9966902842313317,0.9952718346161882,1.5489605063155263,1.5495944278319176,1.549867399135267,2,1,4
CAN,Canada,0.900943374633789,1.0,0.045,14.6,1.08,9.39,3200.0,0.025859003781879303,0.9644262589411683,0.9491803699159549,1.5420809063155263,1.5488686516397083,1.551933436587401,1,2,2
FIN,Finland,1.0,1.0,0.0571,16.4,1.101,12.29,350.0,0.0028283285386430487,1.0,1.0,1.5520678763155265,1.5520678763155265,1.5520678763155265,3,3,7
SWE,Sweden,0.933962249755859,1.0,0.0682,15.2,1.083,12.29,500.0,0.004040469340918641,0.9764920564059647,0.9664172234370924,1.5597633263155264,1.5646190843127723,1.5667724390866822,4,4,11
ISL,Iceland,0.96698112487793,1.0,0.0895,8.7,1.08,12.47,60.0,0.00048485632091023695,0.9883463889570321,0.9833519842243316,1.5757229063155263,1.5782893630913852,1.5794078944661547,5,5,21
NZL,New Zealand,0.957547149658203,0.98,0.095,15.9,1.094,12.3,250.0,0.0020202346704593205,0.9780959675929868,0.9687085251328384,1.5808119063155264,1.5858003177642535,1.5880072670843184,6,6,23
USA,United States of America,0.886792449951172,0.95,0.0813,22.9,1.199,10.78,53700.0,0.43394640721466204,0.942496603455824,0.9178522906511772,1.5762959963155263,1.5896109078750056,1.5958280200688422,7,7,22
GBR,United Kingdom,0.8915093994140619,0.98,0.0971,15.9,1.093,11.88,2590.0,0.02092963118595856,0.9542956622190251,0.9347080888843216,1.5823521163155263,1.5930941553176807,1.5980194694940226,8,8,28
AUS,Australia,0.919811325073242,1.0,0.09,28.8,1.287,10.68,2670.0,0.021576106280505544,0.9713475622104311,0.9590679460149015,1.5891419063155263,1.5959582450128555,1.5990042106561444,9,9,34
DNK,Denmark,0.995283050537109,1.0,0.1293,17.2,1.113,12.02,300.0,0.0024242816045511846,0.9983471162417608,0.9976387374882297,1.6087985363155264,1.609213662627271,1.6093919949932636,11,10,56
LUX,Luxembourg,0.976415100097656,0.98,0.1277,18.0,1.125,10.99,70.0,0.0005656657077286098,0.9847441354746269,0.9782059078208958,1.6086246563155264,1.6125064429515312,1.6142071307420067,12,11,55
FRA,France,0.849056625366211,0.98,0.1024,21.0,1.17,10.43,1400.0,0.011313314154572195,0.938527204981005,0.9121817214014358,1.5919265063155263,1.6072445194903124,1.6144413999310958,10,12,39
NLD,Netherlands,0.943396224975586,1.0,0.1296,18.9,1.139,10.81,1800.0,0.014545689627307108,0.9799001031313623,0.9712858616162319,1.6113909863155265,1.6165873409903062,1.6188801872411807,14,13,60
BEL,Belgium,0.882075500488281,1.0,0.1252,19.0,1.14,9.97,400.0,0.003232375472734913,0.9574321221535023,0.9391887459335748,1.6079705063155263,1.6190816034672904,1.6241518290209345,15,14,54
PRT,Portugal,0.834905624389648,0.95,0.1089,22.9,1.199,10.25,100.0,0.0008080938681837282,0.9234168494301234,0.8905954991858905,1.5994606763155264,1.6194810549179448,1.6291152404331677,16,15,43
EST,Estonia,0.896226425170898,0.95,0.1288,18.2,1.128,11.19,50.0,0.0004040469340918641,0.9459051020986387,0.9227215744266267,1.6097613863155265,1.6241557602724013,1.630841436191405,19,16,58
LVA,Latvia,0.830188674926758,0.9,0.1099,18.4,1.13,10.92,80.0,0.0006464750945469825,0.9050728928341611,0.8643898469059444,1.5949918063155264,1.619841920724289,1.632162807035539,18,17,40
CHE,Switzerland,0.985849075317383,1.0,0.16,15.7,1.091,14.24,500.0,0.004040469340918641,0.9950295295205216,0.9928993278864595,1.6302529063155264,1.6316125868683258,1.632199474401178,24,18,68
