DATAFLOW,LAST UPDATE,freq,siec,nrg_cons,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AL,2019-S1,0.1248,e,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AL,2020-S1,0.1245,e,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AL,2020-S2,0.1243,e,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AL,2021-S1,0.1247,e,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AL,2021-S2,0.1263,e,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AL,2022-S1,0.1268,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AL,2022-S2,0.1316,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AL,2023-S1,0.1362,e,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AL,2023-S2,0.1468,e,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AL,2024-S1,0.1503,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AL,2024-S2,0.1551,e,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AL,2025-S1,0.1703,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2007-S2,0.1412,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2008-S1,0.1476,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2008-S2,0.144,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2009-S1,0.1601,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2009-S2,0.1588,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2010-S1,0.1545,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2010-S2,0.1547,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2011-S1,0.1547,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2011-S2,0.1555,,
ESTAT:NRG_PC_205(1.0),22/10/25 23:00:00,S,E7000,MWH20-499,KWH,I_TAX,EUR,AT,2012-S1,0.1533,,
