iso3,country,rank_raw,rank_cr,delta_rank,c_j_raw,c_j_cr,p_E,p_E_cr,pue_calc,theta,c_elec,c_elec_cr,c_hardware,c_network,c_construct,dc_cap_mw,omega,k_bar,bloc,sanctioned,is_exporter_0,export_pct_0,is_exporter_b,export_pct_b,inf_source,P_I_best,P_I_domestic,imports_inf,lambda_min_k,lambda_star_k,lambda_usa,p_bilat_usa,regime,is_dom_train,is_dom_inf,welfare_train_k,welfare_inf_k,rank_orig,c_j_total_csv,c_j_elec_csv,c_j_hw_csv,c_j_constr_csv,pue,p_L,cost_source,n_datacenters,source_tier,cr_adjusted,subsidy_gap,total_dc,eu,apec_cbpr,depa,export_share_0,hhi_T_0,export_share_b,hhi_T_b,inf_rev_share,hhi_I,welfare_train,welfare_inf,weighted_avg_cost,is_inf_exporter,developing,c_j_baseline,rank_baseline,c_j_low_hw,rank_low_hw,c_j_high_hw,rank_high_hw
KGZ,Kyrgyzstan,4,1,3,1.578472684549613,1.578472684549613,.038,.038,1.08,13.3,.028728,.028728,1.358060906315526,.15,.0416837782340862,5,.0000404046934092,43830000,N,0,1,.2088483365677849,1,.2288612724372769,KGZ,1.584786575287811,1.584786575287811,0,.035,-.0085403395179818,.045,1.649503955354345,EE,1,1,0,0,4,1.42847,.02873,1.35806,.04168,1.08,7.83,predicted,1,3,0,,123748,0,0,0,43830000,.9958317567941819,43830000,.9954332500476588,.2588324659792482,.259057001183021,.0536757609503397,.0436109611068962,1.632148445499952,1,1,1.578472684549612,1,1.520411778234086,1,1.640411778234086,1
CAN,Canada,7,2,5,1.592069498603913,1.592069498603913,.045,.045,1.08,14.6,.03402,.03402,1.358060906315526,.15,.049988592288387,3200,.0258590037818793,28051200000,W,0,1,99.79115166343222,1,99.77113872756273,CAN,1.64518093707734,1.64518093707734,0,0,0,0,1.592069498603913,EE,1,1,.0003516000660517,0,7,1.44207,.03402,1.35806,.04999,1.08,9.390000000000001,DCCI,337,1,0,,123748,0,1,0,20942690994.27869,.9958317567941819,19107509819.63345,.9954332500476588,.4339868119080713,.259057001183021,.0536757609503397,.0436109611068962,1.632148445499952,1,0,1.592069498603913,2,1.534008592288387,2,1.654008592288387,2
ETH,Ethiopia,3,3,0,1.577367584237802,1.594895584237802,.03,.05,1.2525,26.5,.026292,.04382,1.358060906315526,.15,.0430146779222755,10,.0000808093868184,87660000,N,0,0,,0,,ETH,1.601275166574753,1.601275166574753,0,.035,.0017751019263712,.045,1.666665885528503,DD,1,1,1.32712445358e-06,0,3,1.42737,.0263,1.35806,.04301,1.252,8.08,predicted,2,3,1,20,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,1,1.594895584237801,3,1.536834677922275,3,1.656834677922275,3
XKX,Kosovo,10,4,6,1.596857822491661,1.596857822491661,.0468,.0468,1.17,21,.0383292,.0383292,1.358060906315526,.15,.0504677161761351,5,.0000404046934092,43830000,N,0,0,,0,,XKX,1.596896147079401,1.596896147079401,0,.035,.0030076098386076,.045,1.668716424503786,DD,1,1,7.42845861834e-07,0,10,1.44686,.03833,1.35806,.05047,1.17,9.48,predicted,1,3,0,,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,.0589908523774122,.259057001183021,.0536757609503397,.0436109611068962,1.632148445499952,1,1,1.596857822491661,4,1.538796916176135,4,1.658796916176135,4
TJK,Tajikistan,12,5,7,1.604424049185706,1.604424049185706,.074,.074,1.107,16.8,.0573944,.0573944,1.358060906315526,.15,.0389687428701802,5,.0000404046934092,43830000,N,0,0,,0,,TJK,1.610841745382449,1.610841745382449,0,.035,.0077600573295493,.045,1.676623131399063,DD,1,1,1.04855693167e-06,0,12,1.4544,.05737,1.35806,.03897,1.108,7.32,predicted,1,3,0,,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,1,1.604424049185706,5,1.54636314287018,5,1.66636314287018,5
MNE,Montenegro,13,6,7,1.604748301493867,1.604748301493867,.0508,.0508,1.1805,21.7,.0419608,.0419608,1.358060906315526,.15,.0547265951783406,5,.0000404046934092,43830000,N,0,0,,0,,MNE,1.611167294699843,1.611167294699843,0,.035,.0079637245114437,.045,1.676961975061091,DD,1,1,1.06165824677e-06,0,13,1.45474,.04196,1.35806,.05473,1.18,10.28,predicted,1,3,0,,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,.0040404693409186,.259057001183021,.0536757609503397,.0436109611068962,1.632148445499952,1,1,1.604748301493867,6,1.546687395178341,6,1.66668739517834,6
CHN,China,14,7,7,1.605287030682398,1.605287030682398,.079,.079,1.1685,20.9,.0646457,.0646457,1.358060906315526,.15,.032580424366872,31900,.2577819439506093,279635400000,C,0,0,,0,,KGZ,1.6289838104552,1.72867581300877,1,.0525,.0083021074708582,.0725,1.721670340406872,II,1,0,.006912254271874,.0256987982145884,14,1.45527,.06463,1.35806,.03258,1.169,6.12,DCCI,449,1,0,,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,1,1.605287030682398,7,1.547226124366872,7,1.667226124366872,7
UKR,Ukraine,16,8,8,1.607945510017709,1.607945510017709,.0568,.0568,1.1925,22.5,.04739392,.04739392,1.358060906315526,.15,.0524906837021827,175,.0014141642693215,1534050000,N,0,0,,0,,UKR,1.607996964274029,1.607996964274029,0,.035,.0099719336547288,.045,1.680303057968506,DD,1,1,.0000416794166929,0,16,1.45795,.0474,1.35806,.05249,1.192,9.859999999999999,predicted,58,3,0,,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,.0051718007563759,.259057001183021,.0536757609503397,.0436109611068962,1.632148445499952,1,1,1.607945510017708,8,1.549884603702183,8,1.669884603702182,8
ARG,Argentina,17,9,8,1.611767253718371,1.611767253718371,.06,.06,1.1895,22.3,.049938,.049938,1.358060906315526,.15,.0537683474028443,150,.0012121408022756,1314900000,N,0,0,,0,,ARG,1.61181883027049,1.61181883027049,0,.035,.0123724216384589,.045,1.684296780135697,DD,1,1,.0000403577057836,0,17,1.46177,.04994,1.35806,.05377,1.189,10.1,predicted,29,2,0,,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,1,1.61176725371837,9,1.553706347402844,9,1.673706347402844,9
COL,Colombia,18,10,8,1.612877160973675,1.612877160973675,.075,.075,1.2375,25.5,.0649425,.0649425,1.358060906315526,.15,.0398737546581489,150,.0012121408022756,1314900000,N,0,0,,0,,COL,1.617264186851524,1.617264186851524,0,.035,.0130695691287397,.045,1.685456633217491,DD,1,1,.0000417030696545,0,18,1.46289,.06495,1.35806,.03987,1.237,7.49,DCCI,41,2,0,,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,1,1.612877160973675,10,1.554816254658149,10,1.674816254658149,10
