rank,iso3,country,c_j_total,c_elec,c_hw,c_constr,pue,p_E,theta_summer,p_L,cost_source,elec_source
68,ALB,Albania,1.533831618404354,.124930344,1.358060906315526,.0508403680888281,1.2108,.1474,23.72,9.550000000000001,predicted,Eurostat
27,ARE,United Arab Emirates,1.471481033790999,.064230075,1.358060906315526,.0491900524754734,1.41165,.065,37.11,9.24,DCCI,"ADDC tariffs, IEA"
17,ARG,Argentina,1.46176935371837,.0499401,1.358060906315526,.0537683474028443,1.18905,.06,22.27,10.1,predicted,"CAMMESA Argentina 2024, large industrial avg"
44,ARM,Armenia,1.499494665142433,.089475435,1.358060906315526,.051958323826907,1.15155,.111,19.77,9.76,predicted,"Electric Networks of Armenia 2025, 110kV tariff"
39,AUS,Australia,1.496007390994969,.08109045,1.358060906315526,.0568560346794433,1.28715,.09,28.81,10.68,DCCI,"AER wholesale + network, OECD comparison"
74,AUT,Austria,1.547526960085585,.1265943525,1.358060906315526,.0628717012700586,1.13385,.1595,18.59,11.81,DCCI,Eurostat
19,AZE,Azerbaijan,1.463076886129961,.05300442,1.358060906315526,.0520115598144346,1.2213,.062,24.42,9.77,predicted,"GlobalPetrolPrices 2025, AERA regulated"
55,BEL,Belgium,1.511046785880512,.0999096,1.358060906315526,.0530762795649859,1.14,.1252,19,9.970000000000001,predicted,Eurostat
72,BGR,Bulgaria,1.544353344456449,.131406135,1.358060906315526,.0548863031409233,1.21425,.1546,23.95,10.31,predicted,Eurostat
35,BIH,Bosnia and Herz.,1.488139329378306,.0812610225,1.358060906315526,.0488174005627804,1.17855,.0985,21.57,9.17,predicted,Eurostat
38,BLR,Belarus,1.495995758708103,.07985439,1.358060906315526,.0580804623925774,1.1523,.099,19.82,10.91,predicted,"GlobalPetrolPrices 2025, state-regulated"
26,BRA,Brazil,1.471080502907662,.05579091,1.358060906315526,.0572286865921363,1.2651,.063,27.34,10.75,DCCI,"Statista, ACL free market"
7,CAN,Canada,1.442069498603913,.03402,1.358060906315526,.049988592288387,1.08,.045,14.63,9.390000000000001,DCCI,Hydro-Quebec Rate L
78,CHE,Switzerland,1.556021752554784,.1221528,1.358060906315526,.0758080462392577,1.09065,.16,15.71,14.24,DCCI,"Avenir Suisse / Swiss FSO 2024, large consumers"
45,CHL,Chile,1.502177091576762,.09828,1.358060906315526,.0458361852612366,1.08,.13,13.44,8.609999999999999,DCCI,"Statista/Climatescope 2025, industrial Jan 2024"
14,CHN,China,1.455267675682398,.064626345,1.358060906315526,.032580424366872,1.16865,.079,20.91,6.12,DCCI,"China Briefing, GlobalPetrolPrices"
18,COL,Colombia,1.462887660973675,.064953,1.358060906315526,.0398737546581489,1.2372,.075,25.48,7.49,DCCI,"XM Colombia 2024, industrial non-regulated"
81,CYP,Cyprus,1.577953237481394,.1651125,1.358060906315526,.0547798311658681,1.275,.185,28,10.29,predicted,Eurostat
77,CZE,Czechia,1.554014613183158,.1377667725,1.358060906315526,.0581869343676325,1.14225,.1723,19.15,10.93,predicted,Eurostat
70,DEU,Germany,1.54336113192234,.123865896,1.358060906315526,.0614343296068142,1.14015,.1552,19.01,11.54,DCCI,Eurostat
63,DNK,Denmark,1.522801769823664,.1007512065,1.358060906315526,.0639896570081375,1.11315,.1293,17.21,12.02,DCCI,Eurostat
6,DZA,Algeria,1.435346363738904,.03214134,1.358060906315526,.0451441174233782,1.3914,.033,35.76,8.48,predicted,"Sonelgaz Algeria 2024, subsidized industrial"
5,EGY,Egypt,1.434087224799061,.03540726,1.358060906315526,.0406190584835349,1.3311,.038,31.74,7.63,predicted,"Climatescope/BloombergNEF 2025, industrial 2024"
53,ESP,Spain,1.508770182793205,.097260345,1.358060906315526,.0534489314776789,1.2285,.1131,24.9,10.04,DCCI,Eurostat
60,EST,Estonia,1.519345980358875,.101714004,1.358060906315526,.0595710700433493,1.12815,.1288,18.21,11.19,predicted,Eurostat
3,ETH,Ethiopia,1.427371784237802,.0262962,1.358060906315526,.0430146779222755,1.2522,.03,26.48,8.08,predicted,"EEU Ethiopia 2024, industrial tariff, hydro-dominated"
23,FIN,Finland,1.467482913986908,.043994979,1.358060906315526,.0654270286713819,1.1007,.0571,16.38,12.29,DCCI,Eurostat
43,FRA,France,1.49745164130678,.0838656,1.358060906315526,.0555251349912541,1.17,.1024,21,10.43,DCCI,Eurostat
37,GBR,United Kingdom,1.495620258998278,.0743149995,1.358060906315526,.0632443531827515,1.09335,.0971,15.89,11.88,DCCI,Eurostat
31,GEO,Georgia,1.482150967866937,.0730899855,1.358060906315526,.0510000760514108,1.14615,.0911,19.41,9.58,predicted,Eurostat
66,GHA,Ghana,1.5260325728453,.1104768,1.358060906315526,.0574948665297741,1.3152,.12,30.68,10.8,predicted,"ECG Ghana 2024, industrial tariff"
71,GRC,Greece,1.54392583453714,.144127914,1.358060906315526,.0417370142216138,1.24635,.1652,26.09,7.84,DCCI,Eurostat
85,GRL,Greenland,1.616087324446182,.198828,1.358060906315526,.0591984181306563,1.08,.263,-3.08,11.12,predicted,"Nukissiorfiit 2024, avg revenue/kWh"
83,HRV,Croatia,1.584372361129961,.174299895,1.358060906315526,.0520115598144346,1.2105,.2057,23.7,9.77,predicted,Eurostat
79,HUN,Hungary,1.564102699432607,.1489195785,1.358060906315526,.0571222146170812,1.20945,.1759,23.63,10.73,predicted,Eurostat
30,IDN,Indonesia,1.47638220833393,.05864376,1.358060906315526,.0596775420184045,1.2504,.067,26.36,11.21,DCCI,"Climatescope/BloombergNEF 2025, industrial 2024"
29,IND,India,1.475813602033831,.082404,1.358060906315526,.0353486957183056,1.308,.09,30.2,6.64,DCCI,"MSEDCL tariff, Statista"
84,IRL,Ireland,1.584697153780733,.17313408,1.358060906315526,.0535021674652065,1.0848,.228,15.32,10.05,DCCI,Eurostat
1,IRN,Iran,1.407944620713959,.004633125,1.358060906315526,.0452505893984333,1.32375,.005,31.25,8.5,predicted,"TAVANIR Iran 2024, heavily subsidized industrial"
36,ISL,Iceland,1.492108182762404,.067662,1.358060906315526,.0663852764468781,1.08,.0895,8.720000000000001,12.47,predicted,Eurostat
52,ISR,Israel,1.508381477730843,.09660546,1.358060906315526,.0537151114153167,1.27785,.108,28.19,10.09,predicted,"IEC Israel 2024, general industrial TOU"
75,ITA,Italy,1.547976948105016,.13779801,1.358060906315526,.0521180317894897,1.21515,.162,24.01,9.789999999999999,DCCI,Eurostat
76,JPN,Japan,1.552587767055887,.116589375,1.358060906315526,.0779374857403605,1.23375,.135,25.25,14.64,DCCI,"Multiple sources (TEPCO, JEPX, Statista)"
21,KAZ,Kazakhstan,1.465572292429299,.05677749,1.358060906315526,.0507338961137729,1.22895,.066,24.93,9.529999999999999,predicted,"GlobalPetrolPrices 2025, regulated ceiling"
33,KEN,Kenya,1.487852158167378,.0779394,1.358060906315526,.0518518518518519,1.26525,.088,27.35,9.74,DCCI,"Climatescope/BloombergNEF 2025, industrial 2024"
4,KGZ,Kyrgyzstan,1.428472684549612,.028728,1.358060906315526,.0416837782340862,1.08,.038,13.34,7.83,predicted,"GlobalPetrolPrices 2024, hydropower"
61,KOR,South Korea,1.520580795755788,.10891125,1.358060906315526,.0536086394402616,1.2447,.125,25.98,10.07,DCCI,KEPCO post-Oct 2024 rates
64,LTU,Lithuania,1.523111384633269,.1066506,1.358060906315526,.0583998783177428,1.137,.134,18.8,10.97,predicted,Eurostat
58,LUX,Luxembourg,1.517131006608324,.10056375,1.358060906315526,.0585063502927979,1.125,.1277,18,10.99,predicted,Eurostat
47,LVA,Latvia,1.503156276695631,.086961672,1.358060906315526,.058133698380105,1.1304,.1099,18.36,10.92,predicted,Eurostat
41,MAR,Morocco,1.496693808562085,.09700236,1.358060906315526,.0416305422465587,1.2831,.108,28.54,7.82,predicted,"Climatescope/BloombergNEF 2025, industrial 2024"
62,MDA,Moldova,1.522064192828417,.114972942,1.358060906315526,.0490303445128907,1.21845,.1348,24.23,9.210000000000001,predicted,Eurostat
