iso3,country,c_j_raw,rank_raw,c_j_symmetric,rank_symmetric,c_j_wacc,rank_wacc,income_group,regime_bilat,best_train_src,imports_train
KGZ,Kyrgyzstan,1.42847,4,1.428472684549612,1,1.854809947471777,68,LMIC,DD,KGZ,0
ETH,Ethiopia,1.42737,3,1.444913084237802,2,1.960666023257692,84,LIC,DD,ETH,0
XKX,Kosovo,1.44686,10,1.446857822491661,3,1.785078737822703,34,UMIC,DD,XKX,0
CAN,Canada,1.44207,7,1.447816913003913,4,1.670675443988051,1,HIC,DD,CAN,0
TJK,Tajikistan,1.4544,12,1.454372249185706,5,1.880709512107871,72,LMIC,DD,TJK,0
MNE,Montenegro,1.45474,13,1.454766081493867,6,1.792986996824908,36,UMIC,DD,MNE,0
CHN,China,1.45527,14,1.455259380682398,7,1.79348029601344,37,UMIC,DD,CHN,0
UKR,Ukraine,1.45795,16,1.457965390017709,8,1.79618630534875,40,UMIC,DD,UKR,0
ARG,Argentina,1.46177,17,1.46178825371837,9,1.800009169049412,41,UMIC,DD,ARG,0
COL,Colombia,1.46289,18,1.462903410973675,10,1.801124326304717,43,UMIC,DD,COL,0
AZE,Azerbaijan,1.46308,19,1.463063866129961,11,1.801284781461002,45,UMIC,DD,AZE,0
RUS,Russia,1.44426,8,1.463650139394087,12,1.801871054725129,46,UMIC,DD,RUS,0
NOR,Norway,1.46503,20,1.466098979637239,13,1.688957510621376,2,HIC,DD,NOR,0
DZA,Algeria,1.43535,6,1.466541023738904,14,1.804761939069946,47,UMIC,DD,DZA,0
VNM,Vietnam,1.46984,24,1.469848131389676,15,1.896185394311841,73,LMIC,II,KGZ,1
FIN,Finland,1.46748,23,1.471048679756908,16,1.693907210741046,3,HIC,DD,FIN,0
BRA,Brazil,1.47108,26,1.471054042907662,17,1.809274958238704,48,UMIC,II,KGZ,1
TKM,Turkmenistan,1.41662,2,1.472812958790999,18,1.811033874122041,49,UMIC,DD,TKM,0
EGY,Egypt,1.43409,5,1.473187964799061,19,1.899525227721226,74,LMIC,II,KGZ,1
IND,India,1.47581,29,1.475813602033831,20,1.902150864955996,75,LMIC,II,KGZ,1
IDN,Indonesia,1.47638,30,1.47641034833393,21,1.814631263664972,50,UMIC,II,KGZ,1
SWE,Sweden,1.47517,28,1.477341539546908,22,1.700200070531046,4,HIC,II,FIN,1
KAZ,Kazakhstan,1.46557,21,1.481890552429299,23,1.82011146776034,53,UMIC,II,KGZ,1
IRN,Iran,1.40794,1,1.482029995713959,24,1.820250911045001,54,UMIC,DD,IRN,0
GEO,Georgia,1.48215,31,1.482141402366937,25,1.820362317697978,55,UMIC,II,KGZ,1
