iso3,country,p_E,theta,pue,c_construction,k_bar_gpu_hours,omega_pct,c_j_total,omega
IRN,Iran,.005,31.2,1.324,.04525,47430535.1,.0080809386818373,1.40794,.0000808093868184
TKM,Turkmenistan,.01,32.2,1.339,.04919,2976544.6,.0040404693409186,1.41662,.0000404046934092
ETH,Ethiopia,.03,26.5,1.252,.04301,1699388.96,.0080809386818373,1.42737,.0000808093868184
KGZ,Kyrgyzstan,.038,13.3,1.08,.04168,1999499.91,.0040404693409186,1.42847,.0000404046934092
EGY,Egypt,.038,31.7,1.331,.04062,24427142.86,.1212140802275592,1.43409,.0012121408022756
DZA,Algeria,.033,35.8,1.391,.04514,12055142.86,.0202023467045932,1.43535,.0002020234670459
CAN,Canada,.045,14.6,1.08,.04999,82800428.56999999,2.58590037818793,1.44207,.0258590037818793
RUS,Russia,.04,16.9,1.109,.05515,147615373.98,1.616187736367456,1.44426,.0161618773636746
ZAF,South Africa,.04,23.5,1.208,.0543,29322857.14,.202023467045932,1.44619,.0020202346704593
XKX,Kosovo,.0468,21,1.17,.05047,721143.4300000001,.0040404693409186,1.44686,.0000404046934092
NGA,Nigeria,.042,31.4,1.326,.0559,4414525.93,.0808093868183728,1.45294,.0008080938681837
TJK,Tajikistan,.074,16.8,1.108,.03897,2190331.9,.0040404693409186,1.4544,.0000404046934092
MNE,Montenegro,.0508,21.7,1.18,.05473,406571.43,.0040404693409186,1.45474,.0000404046934092
CHN,China,.079,20.9,1.169,.03258,1314725142.86,25.77819439506093,1.45527,.2577819439506093
QAT,Qatar,.036,36.1,1.396,.06314,7353826.46,.0646475094546983,1.45638,.000646475094547
UKR,Ukraine,.0568,22.5,1.192,.05249,13564000,.1414164269321525,1.45795,.0014141642693215
ARG,Argentina,.06,22.3,1.189,.05377,18357000,.1212140802275592,1.46177,.0012121408022756
COL,Colombia,.075,25.5,1.237,.03987,11606571.43,.1212140802275592,1.46289,.0012121408022756
AZE,Azerbaijan,.062,24.4,1.221,.05201,3433428.57,.0080809386818373,1.46308,.0000808093868184
NOR,Norway,.0541,14.5,1.08,.06607,18546000,.3232375472734913,1.46503,.0032323754727349
KAZ,Kazakhstan,.066,24.9,1.229,.05073,14944285.71,.0808093868183728,1.46557,.0008080938681837
UZB,Uzbekistan,.071,29.9,1.303,.04456,10665399.49,.0202023467045932,1.46737,.0002020234670459
FIN,Finland,.0571,16.4,1.101,.06543,11480000,.2828328538643049,1.46748,.002828328538643
VNM,Vietnam,.073,28,1.275,.04663,37623483.19,.202023467045932,1.46984,.0020202346704593
SAU,Saudi Arabia,.053,36,1.395,.06037,56983218.67,.3232375472734913,1.47018,.0032323754727349
BRA,Brazil,.063,27.3,1.265,.05723,87969857.14,.9697126418204739,1.47108,.0096971264182047
ARE,United Arab Emirates,.065,37.1,1.412,.04919,21997865.98,.4040469340918641,1.47148,.0040404693409186
SWE,Sweden,.0682,15.2,1.083,.06543,18287857.14,.4040469340918641,1.47517,.0040404693409186
IND,India,.09,30.2,1.308,.03535,242752428.57,2.909137925461422,1.47581,.0290913792546142
IDN,Indonesia,.067,26.4,1.25,.05968,58054285.71,.4040469340918641,1.47638,.0040404693409186
GEO,Georgia,.0911,19.4,1.146,.051,1795285.71,.0121214080227559,1.48215,.0001212140802276
USA,United States of America,.0813,22.9,1.199,.05739,603904428.5700001,43.3946407214662,1.48369,.433946407214662
KEN,Kenya,.088,27.4,1.265,.05185,1502714.29,.0484856320910237,1.48785,.0004848563209102
TUR,Turkey,.086,24.4,1.222,.05627,43653428.57,.2828328538643049,1.48787,.002828328538643
BIH,Bosnia and Herz.,.0985,21.6,1.179,.04882,1672857.14,.0080809386818373,1.48814,.0000808093868184
ISL,Iceland,.0895,8.699999999999999,1.08,.06639,2807142.86,.0484856320910237,1.49211,.0004848563209102
GBR,United Kingdom,.0971,15.9,1.093,.06324,41173000,2.092963118595856,1.49562,.0209296311859586
