iso3,country,c_j_raw,rank_raw,c_j_symmetric,rank_symmetric,c_j_wacc,rank_wacc,income_group,regime_bilat,best_train_src,imports_train
KGZ,Kyrgyzstan,1.42847,4,1.428472684549612,1,1.854809947471777,68,LMIC,DD,KGZ,0
ETH,Ethiopia,1.42737,3,1.444913084237802,2,1.960666023257692,84,LIC,DD,ETH,0
XKX,Kosovo,1.44686,10,1.446857822491661,3,1.785078737822703,34,UMIC,DD,XKX,0
CAN,Canada,1.44207,7,1.447816913003913,4,1.670675443988051,1,HIC,DD,CAN,0
TJK,Tajikistan,1.4544,12,1.454372249185706,5,1.880709512107871,72,LMIC,DD,TJK,0
MNE,Montenegro,1.45474,13,1.454766081493867,6,1.792986996824908,36,UMIC,DD,MNE,0
CHN,China,1.45527,14,1.455259380682398,7,1.79348029601344,37,UMIC,DD,CHN,0
UKR,Ukraine,1.45795,16,1.457965390017709,8,1.79618630534875,40,UMIC,DD,UKR,0
ARG,Argentina,1.46177,17,1.46178825371837,9,1.800009169049412,41,UMIC,DD,ARG,0
COL,Colombia,1.46289,18,1.462903410973675,10,1.801124326304717,43,UMIC,DD,COL,0
AZE,Azerbaijan,1.46308,19,1.463063866129961,11,1.801284781461002,45,UMIC,DD,AZE,0
RUS,Russia,1.44426,8,1.463650139394087,12,1.801871054725129,46,UMIC,DD,RUS,0
NOR,Norway,1.46503,20,1.466098979637239,13,1.688957510621376,2,HIC,DD,NOR,0
DZA,Algeria,1.43535,6,1.466541023738904,14,1.804761939069946,47,UMIC,DD,DZA,0
VNM,Vietnam,1.46984,24,1.469848131389676,15,1.896185394311841,73,LMIC,II,KGZ,1
FIN,Finland,1.46748,23,1.471048679756908,16,1.693907210741046,3,HIC,DD,FIN,0
BRA,Brazil,1.47108,26,1.471054042907662,17,1.809274958238704,48,UMIC,II,KGZ,1
TKM,Turkmenistan,1.41662,2,1.472812958790999,18,1.811033874122041,49,UMIC,DD,TKM,0
EGY,Egypt,1.43409,5,1.473187964799061,19,1.899525227721226,74,LMIC,II,KGZ,1
IND,India,1.47581,29,1.475813602033831,20,1.902150864955996,75,LMIC,II,KGZ,1
IDN,Indonesia,1.47638,30,1.47641034833393,21,1.814631263664972,50,UMIC,II,KGZ,1
SWE,Sweden,1.47517,28,1.477341539546908,22,1.700200070531046,4,HIC,II,FIN,1
KAZ,Kazakhstan,1.46557,21,1.481890552429299,23,1.82011146776034,53,UMIC,II,KGZ,1
IRN,Iran,1.40794,1,1.482029995713959,24,1.820250911045001,54,UMIC,DD,IRN,0
GEO,Georgia,1.48215,31,1.482141402366937,25,1.820362317697978,55,UMIC,II,KGZ,1
UZB,Uzbekistan,1.46737,22,1.484739927876101,26,1.911077190798266,77,LMIC,II,KGZ,1
TUR,Turkey,1.48787,34,1.487835545132166,27,1.826056460463207,57,UMIC,II,KGZ,1
KEN,Kenya,1.48785,33,1.487898358167378,28,1.914235621089543,78,LMIC,II,KGZ,1
BIH,Bosnia and Herz.,1.48814,35,1.488170356878306,29,1.826391272209348,58,UMIC,II,KGZ,1
NGA,Nigeria,1.45294,11,1.488214693219473,30,1.914551956141638,79,LMIC,II,KGZ,1
ZAF,South Africa,1.44619,9,1.492660363593646,31,1.830881278924688,59,UMIC,II,KGZ,1
ISL,Iceland,1.49211,36,1.493985255162404,32,1.716843786146542,5,HIC,II,CAN,1
BLR,Belarus,1.496,38,1.495974968708103,33,1.834195884039145,60,UMIC,DD,BLR,0
AUS,Australia,1.49601,39,1.495997940994969,34,1.718856471979107,6,HIC,II,CAN,1
MAR,Morocco,1.49669,41,1.496648448562085,35,1.922985711484249,80,LMIC,II,KGZ,1
MEX,Mexico,1.49687,42,1.496817333344197,36,1.835038248675239,61,UMIC,II,KGZ,1
USA,United States of America,1.48369,32,1.497422853685245,37,1.720281384669383,7,HIC,II,CAN,1
ARM,Armenia,1.49949,44,1.499529630142433,38,1.837750545473475,62,UMIC,II,KGZ,1
NZL,New Zealand,1.49631,40,1.499584801224435,39,1.722443332208573,8,HIC,II,CAN,1
ARE,United Arab Emirates,1.47148,27,1.501115708790999,40,1.723974239775137,9,HIC,II,KGZ,1
CHL,Chile,1.50218,45,1.502177091576762,41,1.7250356225609,10,HIC,II,KGZ,1
GBR,United Kingdom,1.49562,37,1.502874673298278,42,1.725733204282415,11,HIC,II,CAN,1
MYS,Malaysia,1.50576,50,1.505804274134372,43,1.844025189465413,65,UMIC,II,KGZ,1
PHL,Philippines,1.50732,51,1.507304575339786,44,1.933641838261951,81,LMIC,II,KGZ,1
ISR,Israel,1.50838,52,1.508392817730843,45,1.731251348714981,12,HIC,II,CAN,1
THA,Thailand,1.50934,54,1.509320801805677,46,1.847541717136719,66,UMIC,II,KGZ,1
PRT,Portugal,1.50405,48,1.511131262091284,47,1.733989793075422,13,HIC,II,FIN,1
FRA,France,1.49745,43,1.51264163430678,48,1.735500165290918,14,HIC,II,FIN,1
SRB,Serbia,1.51323,56,1.513231643656008,49,1.85145255898705,67,UMIC,II,KGZ,1
LVA,Latvia,1.50316,47,1.514435074295631,50,1.737293605279769,15,HIC,II,FIN,1
PAK,Pakistan,1.51533,57,1.515305250121139,51,1.941642513043303,82,LMIC,II,KGZ,1
SAU,Saudi Arabia,1.47018,25,1.516080516171789,52,1.738939047155927,16,HIC,II,KGZ,1
QAT,Qatar,1.45638,15,1.518953787523222,53,1.74181231850736,17,HIC,II,KGZ,1
LUX,Luxembourg,1.51713,58,1.521041574108324,54,1.743900105092462,18,HIC,II,FIN,1
MDA,Moldova,1.52206,62,1.522021730828417,55,1.860242646159458,69,UMIC,II,KGZ,1
MKD,North Macedonia,1.52511,65,1.525166538105016,56,1.863387453436057,70,UMIC,II,KGZ,1
GHA,Ghana,1.52603,66,1.5260577728453,57,1.952395035767465,83,LMIC,II,KGZ,1
ESP,Spain,1.50877,53,1.527130459273205,58,1.749988990257343,19,HIC,II,FIN,1
BEL,Belgium,1.51105,55,1.528084405080512,59,1.75094293606465,20,HIC,II,FIN,1
MLT,Malta,1.50556,49,1.52933998499144,60,1.752198515975578,21,HIC,II,FIN,1
DNK,Denmark,1.5228,63,1.530249556113664,61,1.753108087097801,22,HIC,II,FIN,1
LTU,Lithuania,1.52311,64,1.531580556533269,62,1.754439087517407,23,HIC,II,FIN,1
ALB,Albania,1.53383,68,1.533800664404354,63,1.872021579735396,71,UMIC,II,KGZ,1
KOR,South Korea,1.52058,61,1.538037045755787,64,1.760895576739925,24,HIC,II,CAN,1
POL,Poland,1.50255,46,1.540207460030779,65,1.763065991014916,25,HIC,II,FIN,1
SVN,Slovenia,1.53372,67,1.545399609431063,66,1.768258140415201,26,HIC,II,FIN,1
NLD,Netherlands,1.51892,59,1.546085344052828,67,1.768943875036965,27,HIC,II,FIN,1
EST,Estonia,1.51935,60,1.550700421798875,68,1.773558952783013,28,HIC,II,FIN,1
ROU,Romania,1.53712,69,1.551878783040999,69,1.774737314025137,29,HIC,II,FIN,1
JPN,Japan,1.55259,76,1.552516892055886,70,1.775375423040024,30,HIC,II,CAN,1
SVK,Slovakia,1.54594,73,1.55283739057815,71,1.775695921562288,31,HIC,II,FIN,1
AUT,Austria,1.54753,74,1.553174924785585,72,1.776033455769722,32,HIC,II,FIN,1
CHE,Switzerland,1.55602,78,1.558171034514784,73,1.781029565498922,33,HIC,II,CAN,1
GRC,Greece,1.54393,71,1.56684569842714,74,1.789704229411277,35,HIC,II,FIN,1
BGR,Bulgaria,1.54435,72,1.567170972996449,75,1.905391888327491,76,UMIC,II,FIN,1
ITA,Italy,1.54798,75,1.572151900305016,76,1.795010431289153,38,HIC,II,FIN,1
SGP,Singapore,1.56559,80,1.572265806193083,77,1.795124337177221,39,HIC,II,KGZ,1
HUN,Hungary,1.5641,79,1.577855690992607,78,1.800714221976745,42,HIC,II,FIN,1
CZE,Czechia,1.55401,77,1.578298536693159,79,1.801157067677296,44,HIC,II,FIN,1
SEN,Senegal,1.583,82,1.582924693219473,80,2.009261956141638,85,LMIC,II,KGZ,1
HRV,Croatia,1.58437,83,1.594591232659961,81,1.817449763644098,51,HIC,II,FIN,1
DEU,Germany,1.54336,70,1.59518068152234,82,1.818039212506478,52,HIC,II,FIN,1
IRL,Ireland,1.5847,84,1.600805504080733,83,1.82366403506487,56,HIC,II,FIN,1
CYP,Cyprus,1.57795,81,1.615941607481394,84,1.838800138465532,63,HIC,II,FIN,1
GRL,Greenland,1.61609,85,1.616087324446182,85,1.83894585543032,64,HIC,II,KGZ,1
