year,capex_construction,capex_gpu,capex_networking,total_capex,util,elec_price,opex_electricity,opex_staff,opex_maintenance,current_gpu_value,opex_insurance,opex_connectivity,total_opex,gpu_hours,revenue,ebitda,depr_construction,depr_gpu,depreciation,ebt,tax,net_income,fcf,cum_cf,discount_factor,pv_fcf
0,313200000,0,0,313200000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-313200000,-313200000,1,-313200000
1,0,1428550000,114284000,1542834000,.4,.038,14390265.6,600000,6264000,1428550000,8708750,2400000,32363015.6,200362708.8,400725417.6,368362402,20880000,476183333.3333334,497063333.3333334,-128700931.3333334,0,-128700931.3333334,-1174471598,-1487671598,.8880994671403198,-1043047600.35524
2,0,0,0,0,.6,.03876,14678070.912,618000,6264000,952366666.6666667,6327833.333333334,2400000,30287904.24533334,300544063.2,601088126.4,570800222.1546667,20880000,476183333.3333334,497063333.3333334,73736888.82133329,7373688.882133329,66363199.93919996,563426533.2725333,-924245064.7274667,.7887206635349201,444386149.1758922
3,0,0,0,0,.7,.0395352,14971632.33024,636540,6264000,476183333.3333334,3946916.666666667,2400000,28219088.99690667,350634740.4,701269480.8,673050391.8030933,20880000,476183333.3333334,497063333.3333334,175987058.4697599,17598705.84697599,158388352.622784,655451685.9561174,-268793378.7713493,.700462401007922,459119261.6895125
4,0,1285695000,0,1285695000,.7,.040325904,15271064.9768448,655636.2,6264000,1285695000,7994475,2400000,32585176.1768448,350634740.4,701269480.8,668684304.6231551,20880000,428565000,449445000,219239304.6231551,21923930.46231551,197315374.1608396,-638934625.8391604,-907728004.6105098,.6220802850869646,-397468634.193958
5,0,0,0,0,.7,.04113242208,15576486.2763817,675305.2860000001,6264000,857130000.0000001,5851650,2400000,30767441.5623817,350634740.4,701269480.8,670502039.2376182,20880000,428565000,449445000,221057039.2376182,22105703.92376182,198951335.3138564,648396335.3138564,-259331669.2966534,.5524691697042314,358218985.0101126
6,0,0,114284000,114284000,.7,.0419550705216,15888016.00190933,695564.44458,6264000,428565000.0000001,3708825,2400000,28956405.44648933,350634740.4,701269480.8,672313075.3535106,20880000,428565000,449445000,222868075.3535106,22286807.53535106,200581267.8181596,535742267.8181596,276410598.5215062,.4906475752257829,262860644.650942
7,0,1157125500,0,1157125500,.7,.042794171932032,16205776.32194752,716431.3779174001,6264000,1157125500,7351627.5,2400000,32937835.19986492,350634740.4,701269480.8,668331645.6001351,20880000,385708500,406588500,261743145.6001351,26174314.56001351,235568831.0401216,-514968168.9598784,-238557570.4383723,.4357438501117078,-224394212.6275539
8,0,0,0,0,.7,.0436500553706726,16529891.84838647,737924.3192549221,6264000,771417000.0000001,5423085,2400000,31354901.16764139,350634740.4,701269480.8,669914579.6323586,20880000,385708500,406588500,263326079.6323586,26332607.96323586,236993471.6691227,643581971.6691227,405024401.2307504,.3869838810938791,249055849.198568
9,0,0,0,0,.7,.0445230564780861,16860489.6853542,760062.0488325699,6264000,385708500.0000001,3494542.5,2400000,29779094.23418677,350634740.4,701269480.8,671490386.5658132,20880000,385708500,406588500,264901886.5658132,26490188.65658132,238411697.9092319,645000197.9092319,1050024599.139982,.3436801785913669,221673783.2089118
10,0,1041412950,0,1041412950,.7,.0454135176076478,17197699.47906128,782863.9102975469,6264000,1041412950,6773064.75,2400000,33417628.13935883,350634740.4,701269480.8,667851852.6606411,20880000,347137650,368017650,299834202.6606411,29983420.26606411,269850782.394577,-403544517.605423,646480081.5345592,.3052221834736829,-123170738.7923613
11,0,0,114284000,114284000,.7,.0463217879598008,17541653.46864251,806349.8276064734,6264000,694275300.0000001,5037376.500000001,2400000,32049379.79624898,350634740.4,701269480.8,669220101.0037509,20880000,347137650,368017650,301202451.0037509,30120245.10037509,271082205.9033758,524815855.9033758,1171295937.437935,.2710676585023827,142260605.204652
12,0,0,0,0,.7,.0472482237189968,17892486.53801536,830540.3224346675,6264000,347137650.0000001,3301688.25,2400000,30688715.11045003,350634740.4,701269480.8,670580765.6895499,20880000,347137650,368017650,302563115.6895499,30256311.56895499,272306804.1205949,640324454.120595,1811620391.55853,.2407350430749403,154148535.044659
13,0,937271655,0,937271655,.7,.0481931881933767,18250336.26877566,855456.5321077076,6264000,937271655,6252358.275,2400000,34022151.07588337,350634740.4,701269480.8,667247329.7241166,20880000,312423885,333303885,333943444.7241166,33394344.47241166,300549100.2517049,-303418669.7482951,1508201721.810235,.2137966634768564,-64869899.22877167
14,0,0,0,0,.7,.0491570519572443,18615342.99415118,881120.2280709388,6264000,624847770.0000001,4690238.850000001,2400000,32850702.07222211,350634740.4,701269480.8,668418778.7277778,20880000,312423885,333303885,335114893.7277778,33511489.37277779,301603404.3550001,634907289.355,2143109011.165235,.1898727029101745,120551563.1272061
15,0,0,0,0,.7,.0501401929963892,18987649.8540342,907553.8349130672,6264000,312423885.0000001,3128119.425000001,2400000,31687323.11394727,350634740.4,701269480.8,669582157.6860527,20880000,312423885,333303885,336278272.6860527,33627827.26860527,302650445.4174474,635954330.4174473,2779063341.582683,.1686258462790182,107238337.1614484
