scenario,npv,irr
Base case,114795979.7395999,.1420939596044256
GPU price -20%,732987622.431165,.242600307507322
GPU price +20%,-503395662.9519644,.062365462069264
Electricity +50%,67569664.58109258,.1354880704846904
Electricity -25%,138409137.318854,.1453900736220896
Revenue price +5%,268918944.6443766,.1634910242492771
Revenue price -5%,-39326985.16517638,.1204495169001152
Utilization 80%,709711613.5461845,.2266471962238283
Utilization 60%,-480119654.0669837,.0583470118712776
WACC 10%,346107906.2985052,.1420939596044256
WACC 16%,-107658062.8178883,.1420939596044256
