variable,coef,se,tstat
ln_gdp_pcap,.0556837344042572,.1137725651001555,.4894302449385587
ln_pop,-.0195865772263093,.0267449564094123,-.732346575050547
urban_share,.4594200335234891,.3553699349885633,1.292793757407402
seismic_high,-.0531932360571498,.0773236284806903,-.6879299006310017
1.region_id,.0538791521670713,.0836684834324587,.6439599471235212
2b.region_id,0,0,
3.region_id,-.1056109795289446,.1412294320195574,-.7477972404103389
4.region_id,-.1144151469025326,.1221829632889378,-.9364247176749517
5.region_id,-.0244739430159322,.1510133714670288,-.1620647415402926
6.region_id,-.0695804696246244,.2175213398807133,-.3198788204540377
7.region_id,.1898616605482406,.1996899675524572,.9507821693564311
_cons,1.753141754490207,1.46651294713983,1.195449217076054
