country_iso3,country_name,p_E_raw,p_E_cr,is_subsidized,theta,construction_per_watt,construction_source,G_governance,R_grid,capacity_mw,demand_share,gdp_pc,population,urban_share,seismic,wb_region
IRN,Iran,0.005,0.085,True,31.25,,predicted,0.160377349853516,0.75,10.0,8.080941145851876e-05,18917.0914723132,90608707.0,76.68,1,"Middle East, North Africa, Afghanistan & Pakistan"
TKM,Turkmenistan,0.01,0.07,True,32.25,,predicted,0.0660377359390259,0.75,5.0,4.040470572925938e-05,19828.9248461199,7364438.0,47.07,0,Europe & Central Asia
ETH,Ethiopia,0.03,0.05,True,26.48,,predicted,0.268867931365967,0.55,10.0,8.080941145851876e-05,3060.9050300376,128691692.0,23.06,1,Sub-Saharan Africa
KGZ,Kyrgyzstan,0.038,0.038,False,13.34,,predicted,0.127358493804932,0.65,5.0,4.040470572925938e-05,7298.08612561933,7099750.0,34.71,1,Europe & Central Asia
EGY,Egypt,0.038,0.08,True,31.74,,predicted,0.443396224975586,0.7,150.0,0.0012121407694535,18524.8392997937,114535772.0,42.71,0,"Middle East, North Africa, Afghanistan & Pakistan"
DZA,Algeria,0.033,0.065,True,35.76,,predicted,0.26415094375610404,0.7,25.0,0.00020202342804022657,16824.4879034627,46164219.0,74.73,1,"Middle East, North Africa, Afghanistan & Pakistan"
CAN,Canada,0.045,0.045,False,14.63,9.39,T&T,0.900943374633789,1.0,3200.0,0.02585900371884645,64219.3173928637,40083484.0,82.53,1,North America
RUS,Russia,0.04,0.065,True,16.91,,predicted,0.122641506195068,0.85,2000.0,0.016161877362006305,44268.73046875,143826130.0,74.98,0,Europe & Central Asia
ZAF,South Africa,0.04,0.095,True,23.54,10.195,T&T,0.542452812194824,0.65,250.0,0.002020234682826547,15199.7329823776,63212384.0,63.58,0,Sub-Saharan Africa
XKX,Kosovo,0.0468,0.0468,False,21.0,,predicted,0.514150924682617,0.7,5.0,4.040470572925938e-05,15804.4065754058,1682668.0,49.11,0,Europe & Central Asia
NGA,Nigeria,0.042,0.08,True,31.39,10.5,T&T,0.202830181121826,0.5,100.0,0.0008080939133730471,8705.43426693539,227882945.0,62.17,0,Sub-Saharan Africa
TJK,Tajikistan,0.074,0.074,False,16.84,,predicted,0.09905660629272459,0.65,5.0,4.040470572925938e-05,4963.58295264504,10389799.0,26.19,1,Europe & Central Asia
MNE,Montenegro,0.0508,0.0508,False,21.66,,predicted,0.523584899902344,0.8,5.0,4.040470572925938e-05,32199.703195863,623529.0,65.47,1,Europe & Central Asia
CHN,China,0.079,0.079,False,20.91,6.12,T&T,0.5283018875122071,0.95,31900.0,0.2577819437781218,25179.1193066383,1410710000.0,65.53,1,East Asia & Pacific
QAT,Qatar,0.036,0.1,True,36.07,,predicted,0.801886825561523,0.95,80.0,0.0006464750904560095,129367.869670927,2656032.0,99.28,0,"Middle East, North Africa, Afghanistan & Pakistan"
UKR,Ukraine,0.0568,0.0568,False,22.48,,predicted,0.198113212585449,0.75,175.0,0.0014141642980997973,17665.34375,37732836.0,69.48,0,Europe & Central Asia
ARG,Argentina,0.06,0.06,False,22.27,,predicted,0.377358474731445,0.75,150.0,0.0012121407694535,30221.4976888753,45538401.0,92.19,0,Latin America & Caribbean
COL,Colombia,0.075,0.075,False,25.48,7.49,T&T,0.358490562438965,0.75,150.0,0.0012121407694535,21246.3762695201,52321152.0,78.28,1,Latin America & Caribbean
AZE,Azerbaijan,0.062,0.062,False,24.42,,predicted,0.292452831268311,0.7,10.0,8.080941145851876e-05,23651.5994852756,10153958.0,58.51,0,Europe & Central Asia
NOR,Norway,0.0541,0.0541,False,14.5,12.41,T&T,0.990566024780273,1.0,400.0,0.0032323754522800476,103637.516843678,5519601.0,83.07,0,Europe & Central Asia
KAZ,Kazakhstan,0.066,0.085,True,24.93,,predicted,0.367924537658691,0.8,100.0,0.0008080939133730471,38515.1836009979,20330104.0,61.76,1,Europe & Central Asia
UZB,Uzbekistan,0.071,0.09,True,29.85,,predicted,0.231132068634033,0.7,25.0,0.00020202342804022657,11106.9715934767,35652307.0,51.0,1,Europe & Central Asia
FIN,Finland,0.0571,0.0571,False,16.38,12.29,T&T,1.0,1.0,350.0,0.002828328495593524,63414.9936878177,5583911.0,74.01,0,Europe & Central Asia
VNM,Vietnam,0.073,0.073,False,27.99,,predicted,0.5047169876098629,0.85,250.0,0.002020234682826547,15033.8768594355,100352192.0,38.13,0,East Asia & Pacific
