iso3,p_E_cr_usd_kwh,source
IRN,0.085,"Gas CCGT at export-parity fuel cost; IMF 2025, Lazard CCGT"
TKM,0.070,"Gas CCGT at export-parity fuel cost; IMF 2025"
DZA,0.065,"Gas CCGT at near-export parity; IMF 2025"
EGY,0.080,"Gas/oil, reform target; IMF 2025, Egypt subsidy reform"
UZB,0.090,"Gas, WB reform target; World Bank 2024"
QAT,0.100,"Gas CCGT opportunity cost of LNG export; MEI GCC study"
SAU,0.100,"Gas/oil opportunity cost; MEI GCC study"
ARE,0.095,"Gas CCGT; MEI GCC study"
RUS,0.065,"Gas/coal/nuclear mix; IMF 2025"
KAZ,0.085,"Coal at cost recovery; IMF 2025"
NGA,0.080,"Gas/hydro mix; IMF 2025"
ZAF,0.095,"Coal, Eskom cost recovery; NERSA 2025 tariff path"
ETH,0.050,"Hydro cost-recovery target; IMF 2025"
