iso3,R_grid
KGZ,0.65
ETH,0.55
CAN,1.0
XKX,0.7
CHN,0.95
TJK,0.65
MNE,0.8
COL,0.75
UKR,0.75
ARG,0.75
AZE,0.7
DZA,0.7
RUS,0.85
VNM,0.85
EGY,0.7
IND,0.7
NOR,1.0
TKM,0.75
FIN,1.0
BRA,0.7
IRN,0.75
IDN,0.7
SWE,1.0
KAZ,0.8
UZB,0.7
GEO,0.8
USA,0.95
BIH,0.75
KEN,0.6
TUR,0.85
NGA,0.5
MAR,0.75
ZAF,0.65
AUS,1.0
ISL,1.0
MEX,0.75
BLR,0.8
FRA,0.98
ARM,0.8
CHL,0.9
ARE,0.95
GBR,0.98
POL,0.92
NZL,0.98
MLT,0.95
PHL,0.7
PRT,0.95
LVA,0.9
PAK,0.55
ISR,0.98
ESP,0.95
MYS,0.95
THA,0.85
BEL,1.0
SRB,0.8
SAU,0.95
LUX,0.98
MDA,0.75
KOR,0.98
NLD,1.0
EST,0.95
QAT,0.95
MKD,0.8
LTU,0.92
DNK,1.0
GHA,0.6
ALB,0.8
SVN,0.95
ROU,0.85
GRC,0.9
BGR,0.85
SVK,0.92
DEU,1.0
ITA,0.95
AUT,1.0
CZE,0.95
JPN,0.98
HUN,0.92
CHE,1.0
SGP,1.0
CYP,0.95
HRV,0.9
SEN,0.65
IRL,0.98
GRL,0.85
