iso3,bloc,source
USA,W,"NATO/Five Eyes core"
CAN,W,"NATO/Five Eyes"
GBR,W,"NATO/Five Eyes"
FRA,W,"NATO/EU"
DEU,W,"NATO/EU"
ITA,W,"NATO/EU"
ESP,W,"NATO/EU"
PRT,W,"NATO/EU"
NLD,W,"NATO/EU"
BEL,W,"NATO/EU"
LUX,W,"NATO/EU"
AUT,W,"EU"
CHE,W,"Swiss alignment"
IRL,W,"EU"
DNK,W,"NATO/EU"
NOR,W,"NATO"
SWE,W,"NATO/EU"
FIN,W,"NATO/EU"
ISL,W,"NATO"
GRC,W,"NATO/EU"
CZE,W,"NATO/EU"
POL,W,"NATO/EU"
HUN,W,"NATO/EU"
SVK,W,"NATO/EU"
SVN,W,"NATO/EU"
EST,W,"NATO/EU"
LVA,W,"NATO/EU"
LTU,W,"NATO/EU"
HRV,W,"NATO/EU"
BGR,W,"NATO/EU"
ROU,W,"NATO/EU"
CYP,W,"EU"
MLT,W,"EU"
JPN,W,"US alliance/G7"
KOR,W,"US alliance"
AUS,W,"Five Eyes"
NZL,W,"Five Eyes"
ISR,W,"US alliance"
TWN,W,"US alignment"
CHN,C,"UNGA voting pattern"
RUS,C,"UNGA voting pattern"
BLR,C,"UNGA voting pattern"
PRK,C,"UNGA voting pattern"
SYR,C,"UNGA voting pattern"
IRN,C,"UNGA voting pattern"
VEN,C,"UNGA voting pattern"
CUB,C,"UNGA voting pattern"
NIC,C,"UNGA voting pattern"
MMR,C,"UNGA voting pattern"
