Country,iso3,c_adj,Type_4,Type_6,Rank_6,Type_7,lambda_star,mu
Canada,CAN,1.6045984451282045,EE,EE,1,EE,0.0,0.0
Norway,NOR,1.6162471139266434,IE,IE,2,IE,0.007259553836541421,0.0
Finland,FIN,1.6174829139869082,IE,IE,3,IE,0.008029715408127691,0.0
Sweden,SWE,1.6344508124488257,IE,DD,4,DD,0.018604260406245077,0.0
Iceland,ISL,1.6472659565767875,IE,DD,5,IE,0.026590772026563902,0.0
New Zealand,NZL,1.6556198543173335,DD,DD,6,DD,0.03179699528192703,0.0
Australia,AUS,1.6582966569481197,ID,DD,7,ID,0.03346520245171036,0.0
United States,USA,1.6583472717411374,IE,DD,8,IE,0.0334967460401836,0.0
United Kingdom,GBR,1.6657070646214696,DD,DD,9,IE,0.03808343431891004,0.0
Denmark,DNK,1.6735467146358463,II,DD,10,ID,0.04296917382475263,0.0
France,FRA,1.6753120945400028,II,DD,11,ID,0.04406937425777491,0.0
Netherlands,NLD,1.6781109047784164,II,DD,12,ID,0.04581361765207137,0.0
Luxembourg,LUX,1.6828903412827207,II,DD,13,ID,0.04879220492343239,0.0
Belgium,BEL,1.6885559783850321,II,DD,14,ID,0.05232308027702204,0.0
Portugal,PRT,1.690406752422231,ID,DD,15,ID,0.05347649909206442,0.0
Estonia,EST,1.6964143526704603,II,DD,16,II,0.057220488914857315,0.0
UAE,ARE,1.6968360390344763,ID,DD,17,DD,0.05748328760152965,0.0
South Korea,KOR,1.698780298158089,ID,DD,18,ID,0.05869496715258227,0.0
Latvia,LVA,1.7004806460481605,II,DD,19,II,0.05975463905693568,0.0
Israel,ISR,1.7020655408791951,ID,DD,20,ID,0.060742359589662565,0.0
Austria,AUT,1.7024351510605296,II,DD,21,ID,0.06097270393684573,0.0
Germany,DEU,1.7059198183561446,II,DD,22,II,0.06314437953967023,0.0
Spain,ESP,1.7067183226041938,II,DD,23,ID,0.06364201447785289,0.0
China,CHN,1.707006304433982,IE,IE,24,IE,0.06382148731148463,0.0
Switzerland,CHE,1.7085101779249114,IE,DD,25,IE,0.06475871462558014,0.0
