iso3,country,pue,p_E,c_elec,c_hardware,c_construction,c_j_total,theta_summer_C,p_L_usd_per_W,rank_symmetric
KGZ,Kyrgyzstan,1.08,0.038,0.02873,1.36,0.04168,1.43041,13.3,7.83,1
ETH,Ethiopia,1.2525,0.05,0.04384,1.36,0.04301,1.44685,26.5,8.08,2
XKX,Kosovo,1.17,0.0468,0.03833,1.36,0.05047,1.4488,21.0,9.48,3
CAN,Canada,1.08,0.0526,0.03977,1.36,0.04999,1.44975,14.6,9.39,4
TJK,Tajikistan,1.107,0.074,0.05734,1.36,0.03897,1.45631,16.8,7.32,5
MNE,Montenegro,1.1805,0.0508,0.04198,1.36,0.05473,1.45671,21.7,10.28,6
CHN,China,1.1685,0.079,0.06462,1.36,0.03258,1.4572,20.9,6.12,7
UKR,Ukraine,1.1925,0.0568,0.04741,1.36,0.05249,1.4599,22.5,9.86,8
ARG,Argentina,1.1895,0.06,0.04996,1.36,0.05377,1.46373,22.3,10.1,9
COL,Colombia,1.2375,0.075,0.06497,1.36,0.03987,1.46484,25.5,7.49,10
AZE,Azerbaijan,1.221,0.062,0.05299,1.36,0.05201,1.465,24.4,9.77,11
RUS,Russia,1.1085,0.065,0.05044,1.36,0.05515,1.46559,16.9,10.36,12
NOR,Norway,1.08,0.05552,0.04197,1.36,0.06607,1.46804,14.5,12.41,13
DZA,Algeria,1.392,0.065,0.06334,1.36,0.04514,1.46848,35.8,8.48,14
VNM,Vietnam,1.275,0.073,0.06515,1.36,0.04663,1.47179,28.0,8.76,15
FIN,Finland,1.101,0.06171,0.04756,1.36,0.06543,1.47299,16.4,12.29,16
BRA,Brazil,1.2645,0.063,0.05576,1.36,0.05723,1.47299,27.3,10.75,17
TKM,Turkmenistan,1.338,0.07,0.06556,1.36,0.04919,1.47475,32.2,9.24,18
EGY,Egypt,1.3305,0.08,0.07451,1.36,0.04062,1.47513,31.7,7.63,19
IND,India,1.308,0.09,0.0824,1.36,0.03535,1.47775,30.2,6.64,20
IDN,Indonesia,1.251,0.067,0.05867,1.36,0.05968,1.47835,26.4,11.21,21
SWE,Sweden,1.083,0.07104,0.05386,1.36,0.06543,1.47928,15.2,12.29,22
KAZ,Kazakhstan,1.2285,0.085,0.0731,1.36,0.05073,1.48383,24.9,9.53,23
IRN,Iran,1.323,0.085,0.07872,1.36,0.04525,1.48397,31.2,8.5,24
GEO,Georgia,1.146,0.0911,0.07308,1.36,0.051,1.48408,19.4,9.58,25
UZB,Uzbekistan,1.3035,0.09,0.08212,1.36,0.04456,1.48668,29.9,8.37,26
TUR,Turkey,1.221,0.086,0.0735,1.36,0.05627,1.48977,24.4,10.57,27
