iso3,country,gco2_per_kwh,year,source
CAN,Canada,130,2024,EMBER Yearly Electricity Data 2025 (2024 data)
COL,Colombia,150,2024,EMBER Yearly Electricity Data 2025 (2024 data)
NOR,Norway,20,2024,EMBER Yearly Electricity Data 2025 (2024 data)
FIN,Finland,65,2024,EMBER Yearly Electricity Data 2025 (2024 data)
SWE,Sweden,40,2024,EMBER Yearly Electricity Data 2025 (2024 data)
USA,United States of America,370,2024,EMBER Yearly Electricity Data 2025 (2024 data)
TUR,Turkey,420,2024,EMBER Yearly Electricity Data 2025 (2024 data)
ISL,Iceland,35,2024,EMBER Yearly Electricity Data 2025 (2024 data)
GBR,United Kingdom,200,2024,EMBER Yearly Electricity Data 2025 (2024 data)
AUS,Australia,530,2024,EMBER Yearly Electricity Data 2025 (2024 data)
NZL,New Zealand,110,2024,EMBER Yearly Electricity Data 2025 (2024 data)
MEX,Mexico,400,2024,EMBER Yearly Electricity Data 2025 (2024 data)
FRA,France,50,2024,EMBER Yearly Electricity Data 2025 (2024 data)
CHL,Chile,330,2024,EMBER Yearly Electricity Data 2025 (2024 data)
POL,Poland,660,2024,EMBER Yearly Electricity Data 2025 (2024 data)
LVA,Latvia,200,2024,EMBER Yearly Electricity Data 2025 (2024 data)
PRT,Portugal,120,2024,EMBER Yearly Electricity Data 2025 (2024 data)
MLT,Malta,380,2024,EMBER Yearly Electricity Data 2025 (2024 data)
ISR,Israel,520,2024,EMBER Yearly Electricity Data 2025 (2024 data)
ESP,Spain,160,2024,EMBER Yearly Electricity Data 2025 (2024 data)
BEL,Belgium,160,2024,EMBER Yearly Electricity Data 2025 (2024 data)
LUX,Luxembourg,70,2024,EMBER Yearly Electricity Data 2025 (2024 data)
NLD,Netherlands,340,2024,EMBER Yearly Electricity Data 2025 (2024 data)
EST,Estonia,560,2024,EMBER Yearly Electricity Data 2025 (2024 data)
KOR,South Korea,430,2024,EMBER Yearly Electricity Data 2025 (2024 data)
DNK,Denmark,135,2024,EMBER Yearly Electricity Data 2025 (2024 data)
LTU,Lithuania,150,2024,EMBER Yearly Electricity Data 2025 (2024 data)
SVN,Slovenia,200,2024,EMBER Yearly Electricity Data 2025 (2024 data)
ROU,Romania,250,2024,EMBER Yearly Electricity Data 2025 (2024 data)
DEU,Germany,380,2024,EMBER Yearly Electricity Data 2025 (2024 data)
GRC,Greece,370,2024,EMBER Yearly Electricity Data 2025 (2024 data)
BGR,Bulgaria,380,2024,EMBER Yearly Electricity Data 2025 (2024 data)
SVK,Slovakia,120,2024,EMBER Yearly Electricity Data 2025 (2024 data)
AUT,Austria,100,2024,EMBER Yearly Electricity Data 2025 (2024 data)
ITA,Italy,260,2024,EMBER Yearly Electricity Data 2025 (2024 data)
JPN,Japan,450,2024,EMBER Yearly Electricity Data 2025 (2024 data)
CZE,Czechia,430,2024,EMBER Yearly Electricity Data 2025 (2024 data)
CHE,Switzerland,40,2024,EMBER Yearly Electricity Data 2025 (2024 data)
HUN,Hungary,230,2024,EMBER Yearly Electricity Data 2025 (2024 data)
SGP,Singapore,400,2024,EMBER Yearly Electricity Data 2025 (2024 data)
CYP,Cyprus,600,2024,EMBER Yearly Electricity Data 2025 (2024 data)
HRV,Croatia,170,2024,EMBER Yearly Electricity Data 2025 (2024 data)
IRL,Ireland,300,2024,EMBER Yearly Electricity Data 2025 (2024 data)
