iso3,country,rank_symmetric,c_j_total,lambda_star_cap,train_share_pct,inf_best_source,inf_export_share_pct,dc_capacity_mw
KGZ,Kyrgyzstan,1,1.43041,-0.0121,0.182,KGZ,99.996,5.0
ETH,Ethiopia,2,1.44685,-0.0018,0.364,KGZ,0,10.0
XKX,Kosovo,3,1.4488,-0.0006,0.182,KGZ,0,5.0
CAN,Canada,4,1.44975,0.0,99.271,KGZ,0,3200.0
TJK,Tajikistan,5,1.45631,0.0041,0,KGZ,0,5.0
MNE,Montenegro,6,1.45671,0.0044,0,KGZ,0,5.0
CHN,China,7,1.4572,0.0047,0,KGZ,0,31900.0
UKR,Ukraine,8,1.4599,0.0063,0,KGZ,0,175.0
ARG,Argentina,9,1.46373,0.0087,0,KGZ,0,150.0
COL,Colombia,10,1.46484,0.0094,0,KGZ,0,150.0
AZE,Azerbaijan,11,1.465,0.0095,0,KGZ,0,10.0
RUS,Russia,12,1.46559,0.0099,0,KGZ,0,2000.0
NOR,Norway,13,1.46804,0.0114,0,KGZ,0,400.0
DZA,Algeria,14,1.46848,0.0117,0,KGZ,0,25.0
VNM,Vietnam,15,1.47179,0.0138,0,KGZ,0,250.0
FIN,Finland,16,1.47299,0.0145,0,KGZ,0,350.0
BRA,Brazil,17,1.47299,0.0145,0,KGZ,0,1200.0
TKM,Turkmenistan,18,1.47475,0.0156,0,KGZ,0,5.0
EGY,Egypt,19,1.47513,0.0159,0,KGZ,0,150.0
IND,India,20,1.47775,0.0175,0,KGZ,0,3600.0
IDN,Indonesia,21,1.47835,0.0179,0,KGZ,0,500.0
SWE,Sweden,22,1.47928,0.0185,0,KGZ,0,500.0
KAZ,Kazakhstan,23,1.48383,0.0213,0,KGZ,0,100.0
IRN,Iran,24,1.48397,0.0214,0,KGZ,0,10.0
GEO,Georgia,25,1.48408,0.0215,0,KGZ,0,15.0
UZB,Uzbekistan,26,1.48668,0.0231,0,KGZ,0,25.0
TUR,Turkey,27,1.48977,0.025,0,KGZ,0,350.0
KEN,Kenya,28,1.48984,0.0251,0,KGZ,0,60.0
