iso3,country,p_E_observed,p_E_v32_adjusted,p_E_symmetric,treatment,delta_v32_to_symmetric
IRN,Iran,0.005,0.085,0.085,keep_v32_adjusted,0.0
TKM,Turkmenistan,0.01,0.07,0.07,keep_v32_adjusted,0.0
ETH,Ethiopia,0.03,0.05,0.05,keep_v32_adjusted,0.0
KGZ,Kyrgyzstan,0.038,0.038,0.038,keep_observed,0.0
EGY,Egypt,0.038,0.08,0.08,keep_v32_adjusted,0.0
DZA,Algeria,0.033,0.065,0.065,keep_v32_adjusted,0.0
CAN,Canada,0.045,0.045,0.0526,apply_symmetric_lrmc,0.0076
RUS,Russia,0.04,0.065,0.065,keep_v32_adjusted,0.0
ZAF,South Africa,0.04,0.095,0.095,keep_v32_adjusted,0.0
XKX,Kosovo,0.0468,0.0468,0.0468,keep_observed,0.0
NGA,Nigeria,0.042,0.08,0.08,keep_v32_adjusted,0.0
TJK,Tajikistan,0.074,0.074,0.074,keep_observed,0.0
MNE,Montenegro,0.0508,0.0508,0.0508,keep_observed,0.0
CHN,China,0.079,0.079,0.079,keep_observed,0.0
QAT,Qatar,0.036,0.1,0.1,keep_v32_adjusted,0.0
UKR,Ukraine,0.0568,0.0568,0.0568,keep_observed,0.0
ARG,Argentina,0.06,0.06,0.06,keep_observed,0.0
COL,Colombia,0.075,0.075,0.075,apply_symmetric_lrmc,0.0
AZE,Azerbaijan,0.062,0.062,0.062,keep_observed,0.0
NOR,Norway,0.0541,0.0541,0.05552,apply_symmetric_lrmc,0.00142
KAZ,Kazakhstan,0.066,0.085,0.085,keep_v32_adjusted,0.0
UZB,Uzbekistan,0.071,0.09,0.09,keep_v32_adjusted,0.0
FIN,Finland,0.0571,0.0571,0.06171,apply_symmetric_lrmc,0.00461
VNM,Vietnam,0.073,0.073,0.073,keep_observed,0.0
SAU,Saudi Arabia,0.053,0.1,0.1,keep_v32_adjusted,0.0
BRA,Brazil,0.063,0.063,0.063,keep_observed,0.0
ARE,United Arab Emirates,0.065,0.095,0.095,keep_v32_adjusted,0.0
SWE,Sweden,0.0682,0.0682,0.07104,apply_symmetric_lrmc,0.00284
IND,India,0.09,0.09,0.09,keep_observed,0.0
IDN,Indonesia,0.067,0.067,0.067,keep_observed,0.0
GEO,Georgia,0.0911,0.0911,0.0911,keep_observed,0.0
USA,United States of America,0.0813,0.0813,0.09771,apply_symmetric_lrmc,0.01641
KEN,Kenya,0.088,0.088,0.088,keep_observed,0.0
TUR,Turkey,0.086,0.086,0.086,apply_symmetric_lrmc,0.0
BIH,Bosnia and Herz.,0.0985,0.0985,0.0985,keep_observed,0.0
ISL,Iceland,0.0895,0.0895,0.09198,apply_symmetric_lrmc,0.00248
GBR,United Kingdom,0.0971,0.0971,0.10656,apply_symmetric_lrmc,0.00946
BLR,Belarus,0.099,0.099,0.099,keep_observed,0.0
AUS,Australia,0.09,0.09,0.09,apply_symmetric_lrmc,0.0
NZL,New Zealand,0.095,0.095,0.09935,apply_symmetric_lrmc,0.00435
MAR,Morocco,0.108,0.108,0.108,keep_observed,0.0
MEX,Mexico,0.095,0.095,0.095,apply_symmetric_lrmc,0.0
FRA,France,0.1024,0.1024,0.12095,apply_symmetric_lrmc,0.01855
ARM,Armenia,0.111,0.111,0.111,keep_observed,0.0
CHL,Chile,0.13,0.13,0.13,apply_symmetric_lrmc,0.0
POL,Poland,0.1188,0.1188,0.16562,apply_symmetric_lrmc,0.04682
LVA,Latvia,0.1099,0.1099,0.12409,apply_symmetric_lrmc,0.01419
PRT,Portugal,0.1089,0.1089,0.11741,apply_symmetric_lrmc,0.00851
MLT,Malta,0.1105,0.1105,0.13746,apply_symmetric_lrmc,0.02696
MYS,Malaysia,0.099,0.099,0.099,keep_observed,0.0
PHL,Philippines,0.115,0.115,0.115,keep_observed,0.0
ISR,Israel,0.108,0.108,0.108,apply_symmetric_lrmc,0.0
ESP,Spain,0.1131,0.1131,0.13445,apply_symmetric_lrmc,0.02135
THA,Thailand,0.108,0.108,0.108,keep_observed,0.0
BEL,Belgium,0.1252,0.1252,0.14655,apply_symmetric_lrmc,0.02135
SRB,Serbia,0.1201,0.1201,0.1201,keep_observed,0.0
PAK,Pakistan,0.134,0.134,0.134,keep_observed,0.0
LUX,Luxembourg,0.1277,0.1277,0.13267,apply_symmetric_lrmc,0.00497
NLD,Netherlands,0.1296,0.1296,0.16372,apply_symmetric_lrmc,0.03412
EST,Estonia,0.1288,0.1288,0.16853,apply_symmetric_lrmc,0.03973
KOR,South Korea,0.125,0.125,0.145,apply_symmetric_lrmc,0.02
MDA,Moldova,0.1348,0.1348,0.1348,keep_observed,0.0
DNK,Denmark,0.1293,0.1293,0.13888,apply_symmetric_lrmc,0.00958
LTU,Lithuania,0.134,0.134,0.14464,apply_symmetric_lrmc,0.01064
MKD,North Macedonia,0.1352,0.1352,0.1352,keep_observed,0.0
GHA,Ghana,0.12,0.12,0.12,keep_observed,0.0
SVN,Slovenia,0.147,0.147,0.16119,apply_symmetric_lrmc,0.01419
ALB,Albania,0.1474,0.1474,0.1474,keep_observed,0.0
