Year,CAPEX,Revenue,OPEX,EBITDA,FCF,Cum. CF
0,313.2,0.0,0.0,0.0,-313.2,-313.2
1,1542.8,400.7,32.4,368.4,-1174.5,-1487.7
2,0.0,601.1,30.3,570.8,563.4,-924.2
3,0.0,701.3,28.2,673.1,655.5,-268.8
4,1285.7,701.3,32.6,668.7,-638.9,-907.7
5,0.0,701.3,30.8,670.5,648.4,-259.3
6,114.3,701.3,29.0,672.3,535.7,276.4
7,1157.1,701.3,32.9,668.3,-515.0,-238.6
8,0.0,701.3,31.4,669.9,643.6,405.0
9,0.0,701.3,29.8,671.5,645.0,1050.0
10,1041.4,701.3,33.4,667.9,-403.5,646.5
11,114.3,701.3,32.0,669.2,524.8,1171.3
12,0.0,701.3,30.7,670.6,640.3,1811.6
13,937.3,701.3,34.0,667.2,-303.4,1508.2
14,0.0,701.3,32.9,668.4,634.9,2143.1
15,0.0,701.3,31.7,669.6,636.0,2779.1
Total,6506.1,10118.3,472.0,9646.4,2779.1,
